sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
0; -2.5618; -0.8714; 51.3846; -0.1504; 0.4365; -9.7627;   0.00;   0.00;   0.00;   0.42;  -0.54;   0.83 
1; -2.5555; -0.8744; 51.3847; -0.1562; 0.4531; -9.8389;   0.00;   0.00;   0.00;   0.41;  -0.55;   0.83 
2; -2.5555; -0.8744; 51.3847; -0.1553; 0.4316; -9.8301;   0.00;   0.00;   0.00;   0.42;  -0.54;   0.82 
3; -2.5553; -0.8743; 51.3886; -0.1387; 0.4688; -9.7930;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.83 
4; -2.5553; -0.8743; 51.3886; -0.1289; 0.4092; -9.8096;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.82 
5; -2.5553; -0.8743; 51.3886; -0.1221; 0.4600; -9.7988;   0.00;  -0.00;   0.00;   0.41;  -0.55;   0.83 
6; -2.5553; -0.8743; 51.3886; -0.1523; 0.4189; -9.8037;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.83 
7; -2.5583; -0.8806; 51.3887; -0.1572; 0.4492; -9.7695;   0.00;  -0.00;   0.00;   0.41;  -0.55;   0.83 
8; -2.5583; -0.8806; 51.3887; -0.1650; 0.4258; -9.7920;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.84 
9; -2.5582; -0.8805; 51.3926; -0.1572; 0.4424; -9.7891;   0.00;  -0.00;   0.00;   0.41;  -0.55;   0.83 
10; -2.5586; -0.8804; 51.4006; -0.1514; 0.4375; -9.8486;   0.00;  -0.00;   0.00;   0.41;  -0.55;   0.83 
11; -2.5586; -0.8804; 51.4006; -0.1504; 0.4453; -9.8057;   0.00;  -0.00;   0.00;   0.41;  -0.55;   0.83 
12; -2.5586; -0.8804; 51.4006; -0.1260; 0.4189; -9.7881;   0.00;  -0.00;   0.00;   0.42;  -0.55;   0.83 
13; -2.5586; -0.8804; 51.4006; -0.1553; 0.4434; -9.8154;   0.00;   0.00;   0.00;   0.42;  -0.55;   0.83 
14; -2.5586; -0.8804; 51.4006; -0.1240; 0.4365; -9.8281;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.82 
15; -2.5585; -0.8803; 51.4045; -0.1582; 0.4629; -9.8428;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.82 
16; -2.5585; -0.8803; 51.4045; -0.1553; 0.4453; -9.8057;   0.00;  -0.00;   0.00;   0.42;  -0.55;   0.83 
17; -2.5585; -0.8803; 51.4045; -0.1572; 0.4336; -9.8037;   0.00;  -0.00;   0.00;   0.42;  -0.55;   0.84 
18; -2.5585; -0.8803; 51.4045; -0.1504; 0.4248; -9.7754;   0.00;  -0.00;   0.00;   0.41;  -0.55;   0.83 
19; -2.5585; -0.8803; 51.4045; -0.1357; 0.4160; -9.7930;   0.00;  -0.00;   0.00;   0.41;  -0.55;   0.83 
20; -2.5585; -0.8803; 51.4045; -0.1484; 0.4355; -9.8008;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.82 
21; -2.5520; -0.8832; 51.4086; -0.1416; 0.4268; -9.8301;   0.00;  -0.00;   0.00;   0.41;  -0.54;   0.83 
