sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
144; -2.5283; -0.9298; 12.3452; -0.1602; 0.4346; -9.8320;  -0.00;  -0.00;  -0.00;   0.30;  -0.09;   0.47 
145; -2.5283; -0.9298; 12.3452; -0.1777; 0.4033; -9.8467;  -0.00;  -0.00;  -0.00;   0.06;   0.63;  -0.03 
146; -2.5283; -0.9298; 12.3452; -0.1816; 0.3965; -9.8525;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
147; -2.5283; -0.9298; 12.3452; -0.1562; 0.4375; -9.8701;  -0.00;  -0.00;  -0.00;   0.07;   0.64;  -0.03 
148; -2.5213; -0.9306; 12.3452; -0.1553; 0.4121; -9.8281;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.02 
149; -2.5213; -0.9306; 12.3452; -0.1729; 0.4297; -9.8555;  -0.00;   0.00;  -0.00;   0.06;   0.64;  -0.02 
150; -2.5213; -0.9306; 12.3452; -0.1377; 0.4365; -9.8828;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.03 
151; -2.5213; -0.9306; 12.3452; -0.1318; 0.3857; -9.8799;  -0.00;  -0.00;  -0.00;   0.06;   0.64;  -0.02 
152; -2.5213; -0.9306; 12.3452; -0.1709; 0.4121; -9.8779;   0.00;   0.00;  -0.00;   0.06;   0.64;  -0.02 
153; -2.5143; -0.9315; 12.3384; -0.1680; 0.3848; -9.8691;  -0.00;   0.00;  -0.00;   0.07;   0.64;  -0.02 
154; -2.5139; -0.9315; 12.3362; -0.1729; 0.4131; -9.8516;  -0.00;   0.00;  -0.00;   0.07;   0.64;  -0.02 
155; -2.5139; -0.9315; 12.3362; -0.1895; 0.4160; -9.8652;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.01 
156; -2.5069; -0.9323; 12.3362; -0.1826; 0.4307; -9.8867;  -0.00;   0.00;  -0.00;   0.05;   0.63;  -0.02 
157; -2.5069; -0.9323; 12.3362; -0.1777; 0.4375; -9.8652;  -0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
158; -2.5069; -0.9323; 12.3362; -0.1875; 0.4404; -9.8770;  -0.00;   0.00;  -0.00;   0.07;   0.64;  -0.03 
159; -2.5069; -0.9323; 12.3362; -0.1680; 0.4473; -9.8574;  -0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
160; -2.5000; -0.9330; 12.3362; -0.1973; 0.4473; -9.8594;  -0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
161; -2.5000; -0.9330; 12.3362; -0.1650; 0.4062; -9.8613;  -0.00;   0.00;  -0.00;   0.07;   0.63;  -0.02 
162; -2.5000; -0.9330; 12.3362; -0.1680; 0.4258; -9.8604;  -0.00;   0.00;  -0.00;   0.07;   0.64;  -0.02 
163; -2.5000; -0.9330; 12.3362; -0.1553; 0.4082; -9.8477;  -0.00;   0.00;  -0.00;   0.06;   0.64;  -0.02 
164; -2.5007; -0.9400; 12.3363; -0.1875; 0.4307; -9.8701;  -0.00;   0.00;  -0.00;   0.06;   0.63;  -0.02 
165; -2.5007; -0.9400; 12.3363; -0.1562; 0.4209; -9.8545;  -0.00;   0.00;   0.00;   0.07;   0.64;  -0.03 
166; -2.5007; -0.9400; 12.3363; -0.1514; 0.3945; -9.8691;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.02 
167; -2.4938; -0.9407; 12.3363; -0.1533; 0.4053; -9.8379;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.03 
168; -2.4938; -0.9407; 12.3363; -0.1699; 0.3818; -9.8389;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.03 
169; -2.4938; -0.9407; 12.3363; -0.1875; 0.4375; -9.8721;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
170; -2.4869; -0.9414; 12.3431; -0.1895; 0.4307; -9.8652;  -0.00;   0.00;   0.00;   0.07;   0.64;  -0.02 
171; -2.4876; -0.9483; 12.3432; -0.1797; 0.4346; -9.8604;  -0.00;   0.00;   0.00;   0.07;   0.64;  -0.03 
172; -2.4876; -0.9483; 12.3432; -0.1631; 0.4062; -9.8516;  -0.00;   0.00;   0.00;   0.06;   0.64;  -0.02 
173; -2.4876; -0.9483; 12.3432; -0.1748; 0.4414; -9.8340;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.03 
174; -2.4876; -0.9483; 12.3432; -0.1816; 0.4336; -9.8271;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
175; -2.4814; -0.9560; 12.3433; -0.1768; 0.4248; -9.8320;  -0.00;   0.00;   0.00;   0.07;   0.63;  -0.02 
176; -2.4819; -0.9559; 12.3456; -0.1650; 0.4199; -9.8467;  -0.00;   0.00;   0.00;   0.07;   0.64;  -0.03 
177; -2.4819; -0.9559; 12.3456; -0.1445; 0.4473; -9.8506;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
178; -2.4819; -0.9559; 12.3456; -0.1689; 0.4404; -9.8887;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
179; -2.4819; -0.9559; 12.3456; -0.1895; 0.4248; -9.8555;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.02 
180; -2.4826; -0.9629; 12.3457; -0.1709; 0.4453; -9.8818;   0.00;  -0.00;   0.00;   0.06;   0.64;  -0.02 
181; -2.4826; -0.9627; 12.3525; -0.1396; 0.4238; -9.8896;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
182; -2.4826; -0.9627; 12.3525; -0.1826; 0.4209; -9.8750;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.02 
183; -2.4826; -0.9627; 12.3525; -0.1729; 0.4277; -9.8604;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
184; -2.4826; -0.9627; 12.3525; -0.1729; 0.4463; -9.8438;   0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
185; -2.4826; -0.9627; 12.3525; -0.1602; 0.4131; -9.8516;   0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
186; -2.4834; -0.9697; 12.3527; -0.1895; 0.4189; -9.8252;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.02 
187; -2.4834; -0.9697; 12.3527; -0.1768; 0.4258; -9.8105;  -0.00;  -0.00;   0.00;   0.07;   0.65;  -0.02 
188; -2.4834; -0.9697; 12.3527; -0.1895; 0.4326; -9.8750;   0.00;  -0.00;   0.00;   0.06;   0.63;  -0.02 
189; -2.4834; -0.9697; 12.3527; -0.1846; 0.4512; -9.8525;  -0.00;  -0.00;   0.00;   0.06;   0.64;  -0.03 
190; -2.4841; -0.9766; 12.3528; -0.1748; 0.4482; -9.8359;  -0.00;  -0.00;   0.00;   0.07;   0.63;  -0.02 
191; -2.4841; -0.9766; 12.3528; -0.1660; 0.4443; -9.8486;   0.00;   0.00;   0.00;   0.06;   0.64;  -0.03 
192; -2.4841; -0.9766; 12.3528; -0.1680; 0.4326; -9.8682;   0.00;  -0.00;   0.00;   0.07;   0.64;  -0.03 
193; -2.4849; -0.9836; 12.3529; -0.1973; 0.4111; -9.8682;  -0.00;  -0.00;   0.00;   0.06;   0.63;  -0.03 
194; -2.4849; -0.9835; 12.3597; -0.1699; 0.4297; -9.8389;  -0.00;  -0.00;   0.00;   0.07;   0.64;  -0.03 
195; -2.4849; -0.9835; 12.3597; -0.1924; 0.4160; -9.8682;  -0.00;   0.00;   0.00;   0.06;   0.63;  -0.01 
