sequenceNumber;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

14279; -0.3359; 0.3125; -9.5322;   0.00;  -0.00;   0.00;  -0.34;   1.01;   0.06 
14280; -0.3086; 0.3203; -9.5996;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14283; -0.2598; 0.2500; -9.5762;   0.00;  -0.00;  -0.00;  -0.32;   0.91;   0.08 
14284; -0.3125; 0.3682; -9.5449;  -0.00;   0.00;   0.00;  -0.32;   0.91;   0.07 
14285; -0.3760; 0.3193; -9.5938;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14286; -0.3496; 0.2812; -9.6670;   0.00;  -0.00;   0.00;  -0.34;   0.91;   0.07 
14287; -0.3018; 0.2988; -9.6211;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14288; -0.3232; 0.3242; -9.5986;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.06 
14289; -0.3379; 0.3135; -9.6152;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14290; -0.2969; 0.2773; -9.6250;  -0.00;  -0.00;   0.00;  -0.34;   0.90;   0.08 
14291; -0.3301; 0.2969; -9.6309;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14292; -0.3037; 0.2744; -9.6055;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14293; -0.3086; 0.2822; -9.6172;   0.00;  -0.00;   0.00;  -0.32;   0.91;   0.07 
14294; -0.3496; 0.3105; -9.6152;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14295; -0.3340; 0.2666; -9.5859;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14296; -0.2676; 0.2842; -9.6055;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14297; -0.3350; 0.2930; -9.5947;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14298; -0.3135; 0.3135; -9.6064;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14299; -0.2764; 0.3066; -9.5527;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14300; -0.2773; 0.2559; -9.6045;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14301; -0.3359; 0.2861; -9.6621;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14302; -0.3838; 0.3193; -9.6523;   0.00;  -0.00;   0.00;  -0.34;   0.91;   0.07 
14303; -0.3311; 0.3301; -9.6299;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14304; -0.3691; 0.2705; -9.7021;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14305; -0.3457; 0.2842; -9.6836;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14306; -0.3525; 0.3291; -9.6768;  -0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14307; -0.2988; 0.2715; -9.5791;  -0.00;   0.00;  -0.00;  -0.33;   0.91;   0.08 
14308; -0.2676; 0.3086; -9.6172;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14309; -0.3271; 0.2959; -9.5947;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.06 
14310; -0.3848; 0.3252; -9.5664;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14311; -0.3252; 0.3174; -9.5986;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.07 
14312; -0.2988; 0.2910; -9.6006;  -0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14313; -0.3389; 0.2822; -9.5596;   0.00;  -0.00;   0.00;  -0.32;   0.91;   0.08 
14314; -0.3301; 0.2920; -9.6328;   0.00;   0.00;   0.00;  -0.34;   0.91;   0.07 
14315; -0.3252; 0.2998; -9.5781;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14316; -0.2773; 0.2979; -9.5859;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14317; -0.3281; 0.2822; -9.6191;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14318; -0.3213; 0.2607; -9.5371;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
