TimeStamp;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

1687869136.3877; -0.3047; 0.2998; -9.6523;   0.00;  -0.00;  -0.00;   0.04;   0.09;   0.50 
1687869136.3997; -0.2930; 0.3545; -9.6816;   0.00;   0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.4017; -0.3750; 0.3545; -9.7188;  -0.00;   0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.4037; -0.3545; 0.2656; -9.6289;  -0.00;   0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.4057; -0.3350; 0.3066; -9.6250;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.4077; -0.3389; 0.3232; -9.5537;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.4097; -0.3447; 0.2871; -9.6113;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.4117; -0.4121; 0.3184; -9.6309;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.4137; -0.3115; 0.2637; -9.6367;   0.00;  -0.00;   0.00;  -0.36;   1.07;  -0.28 
1687869136.4157; -0.3516; 0.2861; -9.6045;   0.00;  -0.00;   0.00;  -0.35;   1.07;  -0.26 
1687869136.4177; -0.3760; 0.3184; -9.6338;  -0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.4197; -0.3623; 0.3174; -9.6846;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.4217; -0.3604; 0.3008; -9.6797;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.4237; -0.3340; 0.3652; -9.6592;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.4257; -0.3545; 0.3730; -9.6201;   0.00;   0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.4277; -0.4268; 0.3223; -9.6211;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.4297; -0.3252; 0.2939; -9.6240;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.4317; -0.2920; 0.2998; -9.6426;   0.00;   0.00;   0.00;  -0.36;   1.06;  -0.28 
1687869136.4337; -0.3066; 0.3115; -9.6309;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.4357; -0.3193; 0.2930; -9.7100;   0.00;   0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.4377; -0.3672; 0.2715; -9.7285;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.4397; -0.3213; 0.2852; -9.7002;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.26 
1687869136.4417; -0.3252; 0.3350; -9.6104;   0.00;  -0.00;  -0.00;  -0.36;   1.07;  -0.28 
1687869136.4437; -0.4150; 0.3291; -9.6689;   0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.4457; -0.3887; 0.2900; -9.7061;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.4477; -0.2441; 0.2920; -9.6152;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.4497; -0.3037; 0.3057; -9.6025;   0.00;   0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.4517; -0.3047; 0.2510; -9.6924;   0.00;   0.00;  -0.00;  -0.36;   1.05;  -0.27 
1687869136.4537; -0.3760; 0.3506; -9.5850;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.28 
1687869136.4557; -0.3594; 0.3379; -9.6426;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.4577; -0.3037; 0.2852; -9.6240;   0.00;  -0.00;  -0.00;  -0.35;   1.07;  -0.27 
1687869136.4597; -0.3408; 0.3203; -9.5322;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.4617; -0.4238; 0.2559; -9.6377;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.4637; -0.3232; 0.2812; -9.6572;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
