sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
10841; -2.2350; -1.1438; -130.6302; -0.1992; 0.3857; -9.9023;   0.00;  -0.00;  -0.00;  -0.38;   0.44;   0.04 
10842; -2.2350; -1.1438; -130.6302; -0.1973; 0.3936; -9.9092;   0.00;  -0.00;  -0.00;  -0.38;   0.44;   0.04 
10843; -2.2350; -1.1438; -130.6302; -0.1885; 0.4004; -9.9639;   0.00;   0.00;  -0.00;  -0.38;   0.44;   0.04 
10844; -2.2350; -1.1438; -130.6302; -0.1826; 0.4307; -9.8701;   0.00;   0.00;  -0.00;  -0.38;   0.43;   0.04 
10845; -2.2350; -1.1438; -130.6302; -0.1592; 0.4258; -9.9258;   0.00;  -0.00;  -0.00;  -0.38;   0.44;   0.04 
10846; -2.2413; -1.1409; -130.6301; -0.1689; 0.3945; -9.9434;   0.00;  -0.00;   0.00;  -0.39;   0.43;   0.04 
10847; -2.2413; -1.1409; -130.6301; -0.1611; 0.3779; -9.9268;   0.00;  -0.00;   0.00;  -0.38;   0.44;   0.04 
10848; -2.2413; -1.1409; -130.6301; -0.1445; 0.4111; -9.9336;   0.00;  -0.00;   0.00;  -0.38;   0.44;   0.04 
10849; -2.2477; -1.1380; -130.6300; -0.1670; 0.4072; -9.9473;   0.00;  -0.00;  -0.00;  -0.38;   0.44;   0.04 
10850; -2.2448; -1.1316; -130.6302; -0.1611; 0.4316; -9.9082;   0.00;  -0.00;   0.00;  -0.39;   0.43;   0.04 
10851; -2.2511; -1.1287; -130.6302; -0.1475; 0.4131; -9.9258;   0.00;  -0.00;   0.00;  -0.38;   0.44;   0.04 
10852; -2.2511; -1.1287; -130.6302; -0.1348; 0.4346; -9.8994;   0.00;  -0.00;   0.00;  -0.38;   0.43;   0.04 
10853; -2.2545; -1.1194; -130.6303; -0.1689; 0.4199; -9.9014;   0.00;  -0.00;   0.00;  -0.37;   0.43;   0.04 
10854; -2.2609; -1.1165; -130.6303; -0.1660; 0.4150; -9.9141;   0.00;   0.00;  -0.00;  -0.38;   0.44;   0.04 
10855; -2.2643; -1.1072; -130.6304; -0.1592; 0.4551; -9.8906;   0.00;   0.00;   0.00;  -0.39;   0.43;   0.04 
10856; -2.2643; -1.1072; -130.6304; -0.1934; 0.4346; -9.9219;   0.00;  -0.00;  -0.00;  -0.38;   0.43;   0.04 
10857; -2.2678; -1.0980; -130.6306; -0.1738; 0.4062; -9.9277;   0.00;  -0.00;   0.00;  -0.38;   0.43;   0.04 
10858; -2.2741; -1.0950; -130.6305; -0.1758; 0.4131; -9.9092;  -0.00;  -0.00;   0.00;  -0.37;   0.44;   0.04 
10859; -2.2805; -1.0921; -130.6304; -0.1592; 0.4082; -9.9111;   0.00;  -0.00;   0.00;  -0.38;   0.43;   0.04 
10860; -2.2868; -1.0892; -130.6304; -0.1826; 0.4102; -9.8965;   0.00;  -0.00;   0.00;  -0.38;   0.43;   0.04 
10861; -2.2902; -1.0799; -130.6305; -0.1758; 0.4199; -9.9014;   0.00;   0.00;   0.00;  -0.38;   0.44;   0.04 
10862; -2.2902; -1.0799; -130.6305; -0.1953; 0.4307; -9.9365;   0.00;  -0.00;  -0.00;  -0.38;   0.43;   0.05 
10863; -2.2966; -1.0770; -130.6305; -0.1719; 0.4316; -9.9609;   0.00;  -0.00;   0.00;  -0.38;   0.43;   0.04 
10864; -2.3029; -1.0741; -130.6304; -0.1475; 0.4209; -9.9189;   0.00;  -0.00;  -0.00;  -0.38;   0.43;   0.04 
10865; -2.3064; -1.0648; -130.6306; -0.1514; 0.4033; -9.9121;   0.00;  -0.00;   0.00;  -0.38;   0.43;   0.05 
10866; -2.3068; -1.0647; -130.6324; -0.1611; 0.4014; -9.9258;  -0.00;   0.00;   0.00;  -0.37;   0.44;   0.04 
10867; -2.3131; -1.0618; -130.6324; -0.1768; 0.4355; -9.9395;  -0.00;  -0.00;   0.00;  -0.38;   0.43;   0.04 
10868; -2.3195; -1.0589; -130.6323; -0.1826; 0.4307; -9.8838;  -0.00;  -0.00;   0.00;  -0.38;   0.43;   0.04 
10869; -2.3258; -1.0559; -130.6322; -0.1641; 0.4326; -9.9150;   0.00;  -0.00;   0.00;  -0.38;   0.44;   0.04 
10870; -2.3228; -1.0495; -130.6239; -0.1807; 0.4199; -9.9180;   0.00;   0.00;   0.00;  -0.37;   0.43;   0.05 
10871; -2.3292; -1.0466; -130.6238; -0.1738; 0.4482; -9.9004;   0.00;   0.00;  -0.00;  -0.38;   0.43;   0.04 
10872; -2.3356; -1.0437; -130.6323; -0.1953; 0.4180; -9.9199;  -0.00;   0.00;  -0.00;  -0.38;   0.43;   0.04 
10873; -4.6888; -6.5174; -130.6174; -0.8418; 0.6006; -7.3291;   0.00;  -0.27;  -0.01;  -0.38;   0.43;   0.04 
10874; -4.6908; -6.6400; -130.6068; -0.1846; 0.2500; -7.8789;   0.00;  -0.27;  -0.01;  -0.36;   0.43;   0.02 
10875; -4.6879; -6.7495; -130.6083; -0.4014; 0.0068; -8.5225;  -0.00;  -0.23;  -0.01;  -0.36;   0.43;   0.03 
10876; -4.6948; -6.8466; -130.6012; -0.0459; -0.1045; -9.2773;  -0.00;  -0.21;  -0.01;  -0.36;   0.44;   0.03 
10877; -4.6954; -6.9467; -130.5944; -0.3340; 0.1533; -9.6484;  -0.00;  -0.21;  -0.00;  -0.36;   0.43;   0.03 
10878; -4.6931; -7.0405; -130.5883; -0.7910; 0.5498; -9.7539;   0.00;  -0.21;   0.00;  -0.36;   0.42;   0.02 
10879; -4.6937; -7.1406; -130.5814; -0.8604; 0.7314; -9.6865;  -0.00;  -0.21;   0.00;  -0.36;   0.42;   0.03 
10880; -4.6978; -7.2314; -130.5749; -0.7988; 0.6865; -9.2080;  -0.00;  -0.21;  -0.00;  -0.35;   0.43;   0.02 
10881; -4.6954; -7.3251; -130.5686; -0.8271; 0.4678; -8.7549;  -0.00;  -0.20;  -0.01;  -0.35;   0.43;   0.03 
10882; -4.6985; -7.4165; -130.5687; -0.3564; 0.2168; -8.4844;  -0.00;  -0.19;  -0.01;  -0.35;   0.42;   0.03 
10883; -4.7026; -7.5074; -130.5620; -0.6484; 0.2100; -8.2725;  -0.00;  -0.18;  -0.00;  -0.35;   0.43;   0.03 
10884; -4.7008; -7.5854; -130.5570; -0.5215; 0.2676; -8.2656;   0.00;  -0.17;  -0.00;  -0.35;   0.43;   0.03 
10885; -4.7054; -7.6606; -130.5516; -0.6904; 0.3770; -8.1211;  -0.00;  -0.16;  -0.00;  -0.35;   0.43;   0.03 
10886; -4.7042; -7.7229; -130.5479; -1.1670; 0.4141; -8.0859;  -0.00;  -0.14;  -0.00;  -0.35;   0.43;   0.03 
10887; -4.7084; -7.7829; -130.5419; -0.8496; 0.3711; -8.1924;  -0.00;  -0.12;  -0.00;  -0.35;   0.43;   0.03 
10888; -4.7107; -7.8359; -130.5387; -0.9531; 0.3770; -8.3857;  -0.00;  -0.11;   0.00;  -0.36;   0.42;   0.03 
10889; -4.7091; -7.8831; -130.5344; -0.5840; 0.3799; -8.7373;   0.00;  -0.09;   0.00;  -0.35;   0.43;   0.03 
10890; -4.7120; -7.9203; -130.5240; -0.2861; 0.3994; -8.9014;  -0.00;  -0.08;   0.00;  -0.35;   0.42;   0.03 
10891; -4.7074; -7.9611; -130.5206; -0.5947; 0.3643; -8.8574;  -0.00;  -0.08;   0.00;  -0.35;   0.43;   0.03 
10892; -4.7137; -7.9891; -130.5193; -0.7119; 0.3809; -8.7861;  -0.00;  -0.07;   0.00;  -0.34;   0.43;   0.03 
10893; -4.7126; -8.0205; -130.5164; -0.9844; 0.4150; -8.7227;  -0.00;  -0.06;   0.00;  -0.34;   0.43;   0.03 
10894; -4.7160; -8.0421; -130.5160; -1.0830; 0.4424; -8.5469;  -0.00;  -0.05;   0.00;  -0.34;   0.43;   0.03 
10895; -4.7185; -8.0642; -130.5050; -0.9287; 0.3906; -8.4980;   0.00;  -0.04;   0.00;  -0.35;   0.44;   0.03 
10896; -4.7179; -8.0799; -130.5036; -0.7939; 0.2949; -8.5273;  -0.00;  -0.03;   0.00;  -0.35;   0.43;   0.04 
10897; -4.7144; -8.0892; -130.5030; -0.6562; 0.1787; -8.6787;  -0.00;  -0.01;   0.00;  -0.35;   0.43;   0.03 
10898; -4.7144; -8.0892; -130.5030; -0.5303; 0.1543; -8.6436;  -0.00;  -0.00;   0.00;  -0.34;   0.43;   0.02 
10899; -4.7155; -8.0886; -130.4963; -0.7764; 0.3184; -8.4551;  -0.00;   0.00;   0.01;  -0.34;   0.43;   0.03 
10900; -4.7219; -8.0857; -130.4959; -0.8535; 0.5137; -8.5615;   0.00;   0.02;   0.01;  -0.34;   0.43;   0.03 
10901; -4.7162; -8.0728; -130.4892; -0.9863; 0.6982; -8.7275;  -0.00;   0.03;   0.01;  -0.35;   0.43;   0.03 
10902; -4.7167; -8.0571; -130.4906; -0.9736; 0.6025; -8.7529;  -0.00;   0.04;   0.00;  -0.34;   0.43;   0.03 
10903; -4.7236; -8.0384; -130.4917; -0.8467; 0.3828; -8.6758;  -0.00;   0.05;   0.00;  -0.35;   0.42;   0.03 
