sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

9740; -2.4928; -1.1644; 125.2701; -0.2031; 0.4346; -9.9795;   0.00;  -0.00;   0.00;  -0.18;  -0.30;   0.60 
9741; -2.4928; -1.1644; 125.2701; -0.1982; 0.4238; -9.9580;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.58 
9742; -2.4928; -1.1644; 125.2701; -0.1836; 0.4375; -9.9248;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.58 
9743; -2.4928; -1.1644; 125.2701; -0.1182; 0.4346; -9.9111;   0.00;   0.00;   0.00;  -0.20;  -0.28;   0.57 
9744; -2.4928; -1.1644; 125.2701; -0.1816; 0.4131; -9.9824;  -0.00;  -0.00;   0.00;  -0.21;  -0.28;   0.58 
9745; -2.4928; -1.1644; 125.2701; -0.1963; 0.4727; -9.9922;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.60 
9746; -2.4928; -1.1644; 125.2701; -0.1729; 0.4629; -9.9834;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9747; -2.4928; -1.1644; 125.2701; -0.1836; 0.4160; -9.9375;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9748; -2.4928; -1.1644; 125.2701; -0.1885; 0.4258; -9.9463;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9749; -2.4834; -1.1673; 125.2702; -0.1787; 0.4346; -9.9248;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9750; -2.4834; -1.1673; 125.2702; -0.2275; 0.4150; -9.9795;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9751; -2.4834; -1.1673; 125.2702; -0.1738; 0.4277; -9.9346;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9752; -2.4834; -1.1673; 125.2702; -0.1748; 0.4629; -9.9785;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.58 
9753; -2.4834; -1.1673; 125.2702; -0.1787; 0.4277; -9.9346;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9754; -2.4834; -1.1673; 125.2702; -0.2002; 0.3906; -9.9736;  -0.00;   0.00;   0.00;  -0.20;  -0.28;   0.58 
9755; -2.4834; -1.1673; 125.2702; -0.1289; 0.4521; -9.9961;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9756; -2.4834; -1.1673; 125.2702; -0.1299; 0.4629; -9.8887;   0.00;  -0.00;   0.00;  -0.21;  -0.28;   0.57 
9757; -2.4834; -1.1673; 125.2702; -0.2070; 0.3965; -9.9355;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9758; -2.4834; -1.1673; 125.2702; -0.1445; 0.3848; -9.9248;   0.00;  -0.00;  -0.00;  -0.21;  -0.29;   0.59 
9759; -2.4834; -1.1673; 125.2702; -0.1621; 0.4180; -9.9209;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9760; -2.4834; -1.1673; 125.2702; -0.1660; 0.3809; -9.8955;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9761; -2.4834; -1.1673; 125.2702; -0.1953; 0.3945; -9.9258;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.57 
9762; -2.4834; -1.1673; 125.2702; -0.1494; 0.4229; -9.9229;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9763; -2.4834; -1.1673; 125.2702; -0.1475; 0.4502; -9.9482;   0.00;  -0.00;  -0.00;  -0.20;  -0.28;   0.59 
9764; -2.4834; -1.1673; 125.2702; -0.1641; 0.4326; -9.9180;  -0.00;   0.00;   0.00;  -0.20;  -0.28;   0.59 
9765; -2.4834; -1.1673; 125.2702; -0.1826; 0.4277; -9.8506;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9766; -2.4834; -1.1673; 125.2702; -0.1592; 0.4492; -9.9199;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9767; -2.4834; -1.1673; 125.2702; -0.1445; 0.4014; -9.9287;   0.00;   0.00;  -0.00;  -0.21;  -0.29;   0.59 
