Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.77804, 0.343409, 81.1434, -0.000976562, -0.000976562, 0, -0.0263672, 0.288086, -9.75098, 1.18.2022 19:19:15.414
1, 1.77804, 0.343409, 81.1434, -0.000976562, -0.000976562, 0, -0.140625, 0.28418, -9.75684, 1.18.2022 19:19:15.420
2, 1.77804, 0.343409, 81.1434, 0, -0.000976562, 0, -0.0546875, 0.276367, -9.73926, 1.18.2022 19:19:15.428
3, 1.77804, 0.343409, 81.1434, -0.00195312, 0, 0, -0.0498047, 0.27832, -9.73438, 1.18.2022 19:19:15.436
4, 1.77804, 0.343409, 81.1434, -0.000976562, 0, 0, -0.0878906, 0.316406, -9.73535, 1.18.2022 19:19:15.444
5, 1.77804, 0.343409, 81.1434, -0.00195312, 0, 0, -0.0234375, 0.299805, -9.74414, 1.18.2022 19:19:15.452
6, 1.77804, 0.343409, 81.1434, -0.000976562, -0.000976562, -0.000976562, -0.0810547, 0.324219, -9.73242, 1.18.2022 19:19:15.460
7, 1.77804, 0.343409, 81.1434, 0, 0, 0, -0.0732422, 0.334961, -9.70898, 1.18.2022 19:19:15.468
8, 1.77781, 0.343355, 81.1336, -0.000976562, -0.000976562, 0.000976562, -0.00390625, 0.285156, -9.72559, 1.18.2022 19:19:15.476
9, 1.77781, 0.343355, 81.1336, -0.000976562, -0.000976562, 0, -0.102539, 0.299805, -9.73828, 1.18.2022 19:19:15.484
10, 1.77781, 0.343355, 81.1336, 0, 0, -0.000976562, -0.0429688, 0.268555, -9.73926, 1.18.2022 19:19:15.492
11, 1.77781, 0.343355, 81.1336, -0.000976562, 0, 0, -0.0214844, 0.288086, -9.73438, 1.18.2022 19:19:15.500
12, 1.77804, 0.343259, 81.1328, -0.000976562, 0, 0, -0.104492, 0.319336, -9.74707, 1.18.2022 19:19:15.508
13, 1.77804, 0.343259, 81.1328, 0, 0, 0, -0.0214844, 0.290039, -9.72949, 1.18.2022 19:19:15.516
14, 1.77804, 0.343259, 81.1328, -0.000976562, 0, -0.000976562, -0.0800781, 0.301758, -9.71191, 1.18.2022 19:19:15.524
15, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, 0, -0.0732422, 0.311523, -9.71191, 1.18.2022 19:19:15.532
16, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, 0, 0, 0.305664, -9.76758, 1.18.2022 19:19:15.540
17, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, 0, -0.0976562, 0.314453, -9.7373, 1.18.2022 19:19:15.548
18, 1.77804, 0.343259, 81.1328, -0.000976562, 0, 0, -0.0380859, 0.311523, -9.72461, 1.18.2022 19:19:15.556
19, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, 0, -0.0371094, 0.282227, -9.71094, 1.18.2022 19:19:15.564
20, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, 0, -0.116211, 0.329102, -9.72949, 1.18.2022 19:19:15.572
21, 1.77804, 0.343259, 81.1328, -0.00195312, -0.000976562, 0, -0.0185547, 0.306641, -9.71777, 1.18.2022 19:19:15.580
22, 1.77804, 0.343259, 81.1328, 0, -0.000976562, 0, -0.0263672, 0.308594, -9.77148, 1.18.2022 19:19:15.588
23, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, 0, -0.0683594, 0.30957, -9.7168, 1.18.2022 19:19:15.596
24, 1.77804, 0.343259, 81.1328, 0, 0, 0, -0.0146484, 0.291016, -9.74609, 1.18.2022 19:19:15.604
25, 1.77804, 0.343259, 81.1328, -0.000976562, 0, 0, -0.078125, 0.294922, -9.73145, 1.18.2022 19:19:15.612
26, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, 0.000976562, -0.0429688, 0.313477, -9.78516, 1.18.2022 19:19:15.620
27, 1.77804, 0.343259, 81.1328, 0, 0, 0, -0.0205078, 0.318359, -9.71973, 1.18.2022 19:19:15.628
28, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, -0.00195312, -0.116211, 0.314453, -9.72266, 1.18.2022 19:19:15.636
29, 1.77804, 0.343259, 81.1328, -0.000976562, -0.000976562, -0.00195312, -0.00976562, 0.322266, -9.7627, 1.18.2022 19:19:15.644
30, 1.77804, 0.343259, 81.1328, -0.000976562, 0, 0, -0.0498047, 0.304688, -9.72949, 1.18.2022 19:19:15.652
31, 1.77804, 0.343259, 81.1328, 0, 0, 0, -0.0957031, 0.308594, -9.76855, 1.18.2022 19:19:15.660
32, 1.77273, 0.338711, 81.133, -0.00195312, 0, 0, -0.00488281, 0.295898, -9.75879, 1.18.2022 19:19:15.668
33, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0, -0.09375, 0.270508, -9.77637, 1.18.2022 19:19:15.676
34, 1.77273, 0.338711, 81.133, 0, 0.000976562, 0, -0.0517578, 0.279297, -9.69629, 1.18.2022 19:19:15.684
35, 1.77273, 0.338711, 81.133, 0, 0, -0.000976562, -0.0351562, 0.27832, -9.73242, 1.18.2022 19:19:15.692
36, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0, -0.133789, 0.297852, -9.74219, 1.18.2022 19:19:15.700
37, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0.000976562, -0.0615234, 0.285156, -9.71777, 1.18.2022 19:19:15.708
38, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0, -0.0380859, 0.280273, -9.72559, 1.18.2022 19:19:15.716
39, 1.77273, 0.338711, 81.133, 0, -0.000976562, 0, -0.0947266, 0.30957, -9.71875, 1.18.2022 19:19:15.724
40, 1.77273, 0.338711, 81.133, 0, -0.000976562, -0.00195312, -0.0136719, 0.28125, -9.73535, 1.18.2022 19:19:15.732
41, 1.77273, 0.338711, 81.133, 0, 0, 0, -0.0566406, 0.251953, -9.7207, 1.18.2022 19:19:15.740
42, 1.77273, 0.338711, 81.133, 0, -0.000976562, 0, -0.0595703, 0.3125, -9.76855, 1.18.2022 19:19:15.748
43, 1.77273, 0.338711, 81.133, -0.000976562, -0.000976562, 0, -0.0166016, 0.274414, -9.75684, 1.18.2022 19:19:15.756
44, 1.77273, 0.338711, 81.133, -0.000976562, -0.000976562, 0, -0.116211, 0.297852, -9.74023, 1.18.2022 19:19:15.764
45, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0, -0.0449219, 0.294922, -9.73145, 1.18.2022 19:19:15.772
46, 1.77273, 0.338711, 81.133, 0, 0, -0.000976562, -0.0185547, 0.279297, -9.69727, 1.18.2022 19:19:15.780
47, 1.77273, 0.338711, 81.133, -0.000976562, -0.000976562, 0, -0.0986328, 0.317383, -9.68262, 1.18.2022 19:19:15.788
48, 1.77273, 0.338711, 81.133, -0.00195312, 0, 0, -0.00683594, 0.313477, -9.72266, 1.18.2022 19:19:15.796
49, 1.77273, 0.338711, 81.133, 0, -0.000976562, 0, -0.0371094, 0.296875, -9.72266, 1.18.2022 19:19:15.804
50, 1.77273, 0.338711, 81.133, 0, -0.000976562, -0.00195312, -0.0712891, 0.333008, -9.7207, 1.18.2022 19:19:15.812
51, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0, -0.0234375, 0.3125, -9.74121, 1.18.2022 19:19:15.820
52, 1.77249, 0.338656, 81.1232, -0.000976562, -0.000976562, 0.000976562, -0.128906, 0.319336, -9.74414, 1.18.2022 19:19:15.828
53, 1.77249, 0.338656, 81.1232, 0, -0.000976562, -0.00195312, -0.0625, 0.298828, -9.77344, 1.18.2022 19:19:15.836
54, 1.77249, 0.338656, 81.1232, -0.000976562, -0.000976562, -0.00195312, -0.0498047, 0.279297, -9.75293, 1.18.2022 19:19:15.844
55, 1.77249, 0.338656, 81.1232, -0.000976562, -0.000976562, -0.00195312, -0.114258, 0.323242, -9.7207, 1.18.2022 19:19:15.852
56, 1.77249, 0.338656, 81.1232, -0.000976562, -0.000976562, -0.00195312, -0.00878906, 0.287109, -9.71387, 1.18.2022 19:19:15.860
57, 1.77249, 0.338656, 81.1232, -0.00195312, 0, 0, -0.0517578, 0.288086, -9.73145, 1.18.2022 19:19:15.868
58, 1.77249, 0.338656, 81.1232, -0.000976562, 0, 0, -0.0732422, 0.314453, -9.74023, 1.18.2022 19:19:15.876
59, 1.77249, 0.338656, 81.1232, -0.000976562, 0, 0, -0.0166016, 0.266602, -9.75684, 1.18.2022 19:19:15.884
60, 1.77249, 0.338656, 81.1232, 0, -0.000976562, 0, -0.0615234, 0.290039, -9.73633, 1.18.2022 19:19:15.892
61, 1.77249, 0.338656, 81.1232, 0, 0, -0.000976562, -0.0664062, 0.311523, -9.71484, 1.18.2022 19:19:15.900
62, 1.77249, 0.338656, 81.1232, -0.000976562, 0, -0.000976562, -0.0449219, 0.31543, -9.76172, 1.18.2022 19:19:15.908
63, 1.77273, 0.338711, 81.133, -0.00195312, 0.000976562, 0, -0.119141, 0.319336, -9.72559, 1.18.2022 19:19:15.916
64, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0, -0.0283203, 0.298828, -9.76465, 1.18.2022 19:19:15.924
65, 1.77273, 0.338711, 81.133, -0.000976562, -0.000976562, 0, -0.0595703, 0.319336, -9.75684, 1.18.2022 19:19:15.932
66, 1.77273, 0.338711, 81.133, -0.000976562, 0, 0, -0.0957031, 0.31543, -9.75391, 1.18.2022 19:19:15.940
