Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 20.1418, 88.805, 94.9259, 0, 0, -0.000976562, 9.89453, -0.0869141, -0.185547, 11.29.2021 15:13:8.903
1, 20.1418, 88.805, 94.9259, -0.000976562, 0, -0.000976562, 9.86426, -0.0751953, -0.139648, 11.29.2021 15:13:8.907
2, 20.1418, 88.805, 94.9259, -0.000976562, -0.00195312, 0, 9.91699, -0.03125, -0.136719, 11.29.2021 15:13:8.915
3, 20.1418, 88.805, 94.9259, -0.000976562, -0.00195312, -0.000976562, 9.88867, -0.0322266, -0.105469, 11.29.2021 15:13:8.923
4, 20.1418, 88.805, 94.9259, -0.000976562, 0, -0.000976562, 9.90527, -0.0478516, -0.0800781, 11.29.2021 15:13:8.931
5, 20.1418, 88.805, 94.9259, -0.000976562, 0, 0, 9.87402, -0.0654297, -0.136719, 11.29.2021 15:13:8.939
6, 19.9533, 88.9611, 94.6431, 0, -0.000976562, -0.000976562, 9.87109, -0.0693359, -0.161133, 11.29.2021 15:13:8.947
7, 20.018, 89.0176, 94.6718, 0, -0.00195312, 0, 9.8916, -0.0722656, -0.197266, 11.29.2021 15:13:8.955
8, 20.2996, 88.8116, 95.0885, 0, 0, 0, 9.87988, -0.118164, -0.260742, 11.29.2021 15:13:8.963
9, 20.2996, 88.8116, 95.0885, -0.000976562, -0.000976562, -0.000976562, 9.86523, -0.0625, -0.227539, 11.29.2021 15:13:8.971
10, 20.3788, 88.9641, 95.0706, -0.000976562, -0.000976562, 0, 9.875, -0.0927734, -0.240234, 11.29.2021 15:13:8.979
11, 20.3788, 88.9641, 95.0706, -0.000976562, 0, 0, 9.90332, -0.0507812, -0.210938, 11.29.2021 15:13:8.987
12, 20.1418, 88.805, 94.9259, 0, 0, -0.000976562, 9.89355, -0.0244141, -0.209961, 11.29.2021 15:13:8.995
13, 20.1418, 88.805, 94.9259, 0, 0, 0, 9.87793, -0.0214844, -0.140625, 11.29.2021 15:13:9.003
14, 19.9533, 88.9611, 94.6431, -0.000976562, 0, -0.000976562, 9.86621, -0.0507812, -0.15332, 11.29.2021 15:13:9.011
15, 19.9533, 88.9611, 94.6431, -0.000976562, -0.000976562, -0.000976562, 9.89648, -0.0771484, -0.195312, 11.29.2021 15:13:9.019
16, 19.9533, 88.9611, 94.6431, 0, -0.000976562, -0.00195312, 9.8877, -0.0849609, -0.175781, 11.29.2021 15:13:9.027
17, 19.9533, 88.9611, 94.6431, 0, -0.00195312, -0.000976562, 9.87207, -0.0976562, -0.238281, 11.29.2021 15:13:9.035
18, 19.9533, 88.9611, 94.6431, 0.000976562, -0.000976562, -0.000976562, 9.87012, -0.0908203, -0.242188, 11.29.2021 15:13:9.043
19, 19.8644, 89.0099, 94.5145, 0, -0.000976562, -0.000976562, 9.86328, -0.0869141, -0.213867, 11.29.2021 15:13:9.051
20, 19.72, 88.8025, 94.5028, 0, -0.000976562, -0.000976562, 9.875, -0.0605469, -0.203125, 11.29.2021 15:13:9.059
21, 19.8014, 88.9538, 94.4872, -0.000976562, -0.000976562, 0, 9.88281, -0.0537109, -0.191406, 11.29.2021 15:13:9.067
22, 19.8014, 88.9538, 94.4872, -0.000976562, -0.000976562, 0, 9.87793, -0.03125, -0.147461, 11.29.2021 15:13:9.075
23, 19.8014, 88.9538, 94.4872, -0.00195312, 0, 0, 9.85938, -0.0341797, -0.137695, 11.29.2021 15:13:9.083
24, 19.8014, 88.9538, 94.4872, -0.000976562, 0, 0, 9.89062, -0.0771484, -0.121094, 11.29.2021 15:13:9.091
25, 19.8014, 88.9538, 94.4872, 0, -0.000976562, -0.000976562, 9.8877, -0.109375, -0.183594, 11.29.2021 15:13:9.099
26, 19.8014, 88.9538, 94.4872, 0, -0.000976562, -0.000976562, 9.88379, -0.103516, -0.135742, 11.29.2021 15:13:9.107
27, 19.8014, 88.9538, 94.4872, 0, -0.00195312, 0, 9.85645, -0.0810547, -0.161133, 11.29.2021 15:13:9.113
28, 20.2208, 88.9566, 94.9088, 0, -0.00195312, 0, 9.86816, -0.0966797, -0.197266, 11.29.2021 15:13:9.123
29, 20.2208, 88.9566, 94.9088, -0.000976562, 0, -0.000976562, 9.87109, -0.0380859, -0.166992, 11.29.2021 15:13:9.129
30, 20.2208, 88.9566, 94.9088, -0.000976562, 0, -0.00195312, 9.89648, -0.0410156, -0.219727, 11.29.2021 15:13:9.137
31, 20.2208, 88.9566, 94.9088, -0.000976562, -0.000976562, 0, 9.87012, -0.0292969, -0.21875, 11.29.2021 15:13:9.145
32, 20.2208, 88.9566, 94.9088, 0.000976562, 0, -0.000976562, 9.86816, -0.0292969, -0.200195, 11.29.2021 15:13:9.153
33, 20.1418, 88.805, 94.9259, 0, 0, 0, 9.87305, -0.0615234, -0.18457, 11.29.2021 15:13:9.161
34, 20.1418, 88.805, 94.9259, 0, -0.000976562, 0, 9.87793, -0.0898438, -0.183594, 11.29.2021 15:13:9.169
35, 20.1418, 88.805, 94.9259, 0, 0, 0, 9.89551, -0.09375, -0.152344, 11.29.2021 15:13:9.177
36, 20.1418, 88.805, 94.9259, 0, -0.000976562, 0, 9.875, -0.100586, -0.211914, 11.29.2021 15:13:9.185
37, 20.2208, 88.9566, 94.9088, -0.000976562, -0.000976562, 0, 9.83398, -0.106445, -0.266602, 11.29.2021 15:13:9.193
38, 20.2208, 88.9566, 94.9088, 0, -0.000976562, 0, 9.87012, -0.0693359, -0.232422, 11.29.2021 15:13:9.201
39, 20.4076, 88.8011, 95.1885, -0.000976562, 0, -0.000976562, 9.86523, -0.0732422, -0.253906, 11.29.2021 15:13:9.209
