Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.72586, 0.680906, 98.3182, -0.00195312, -0.000976562, -0.000976562, -0.111328, 0.282227, -9.69336, 1.13.2022 15:46:14.864
1, 1.72586, 0.680906, 98.3182, -0.000976562, 0, -0.000976562, -0.0898438, 0.28418, -9.69336, 1.13.2022 15:46:14.870
2, 1.72057, 0.68548, 98.3182, 0.000976562, 0, -0.000976562, -0.164062, 0.339844, -9.71484, 1.13.2022 15:46:14.878
3, 1.72057, 0.68548, 98.3182, -0.000976562, -0.000976562, 0, -0.0605469, 0.298828, -9.69629, 1.13.2022 15:46:14.886
4, 1.72586, 0.680906, 98.3182, 0.000976562, -0.000976562, 0, -0.102539, 0.290039, -9.7334, 1.13.2022 15:46:14.894
5, 1.72586, 0.680906, 98.3182, 0.000976562, -0.000976562, 0, -0.117188, 0.317383, -9.75879, 1.13.2022 15:46:14.902
6, 1.72586, 0.680906, 98.3182, 0.000976562, -0.000976562, -0.000976562, -0.0634766, 0.260742, -9.7041, 1.13.2022 15:46:14.910
7, 1.72586, 0.680906, 98.3182, 0.000976562, 0, 0, -0.151367, 0.265625, -9.70703, 1.13.2022 15:46:14.918
8, 1.72586, 0.680906, 98.3182, 0.000976562, 0, 0, -0.0996094, 0.290039, -9.72852, 1.13.2022 15:46:14.926
9, 1.72586, 0.680906, 98.3182, 0.000976562, -0.000976562, -0.000976562, -0.0683594, 0.265625, -9.6875, 1.13.2022 15:46:14.934
10, 1.72128, 0.675615, 98.3184, -0.000976562, 0, 0, -0.144531, 0.316406, -9.72949, 1.13.2022 15:46:14.942
11, 1.72128, 0.675615, 98.3184, -0.000976562, 0, 0, -0.0732422, 0.27832, -9.73926, 1.13.2022 15:46:14.950
12, 1.72128, 0.675615, 98.3184, 0.000976562, 0, -0.000976562, -0.114258, 0.300781, -9.75391, 1.13.2022 15:46:14.958
13, 1.72128, 0.675615, 98.3184, -0.00195312, 0, -0.000976562, -0.144531, 0.287109, -9.69043, 1.13.2022 15:46:14.966
14, 1.72128, 0.675615, 98.3184, -0.00195312, -0.000976562, 0, -0.0732422, 0.288086, -9.73633, 1.13.2022 15:46:14.974
15, 1.722, 0.665751, 98.3186, -0.00195312, -0.000976562, -0.000976562, -0.154297, 0.295898, -9.74219, 1.13.2022 15:46:14.982
16, 1.722, 0.665751, 98.3186, 0.000976562, 0, 0, -0.114258, 0.28125, -9.73535, 1.13.2022 15:46:14.990
17, 1.722, 0.665751, 98.3186, -0.000976562, -0.000976562, -0.000976562, -0.111328, 0.287109, -9.70996, 1.13.2022 15:46:14.998
18, 1.722, 0.665751, 98.3186, -0.000976562, -0.000976562, 0, -0.164062, 0.30957, -9.73633, 1.13.2022 15:46:15.006
19, 1.722, 0.665751, 98.3186, -0.000976562, 0.000976562, 0, -0.0634766, 0.288086, -9.72949, 1.13.2022 15:46:15.014
20, 1.722, 0.665751, 98.3186, -0.000976562, 0, -0.000976562, -0.125, 0.293945, -9.69238, 1.13.2022 15:46:15.022
21, 1.722, 0.665751, 98.3186, -0.00195312, -0.000976562, 0, -0.144531, 0.292969, -9.72363, 1.13.2022 15:46:15.030
22, 1.722, 0.665751, 98.3186, -0.000976562, -0.000976562, 0, -0.0615234, 0.295898, -9.74316, 1.13.2022 15:46:15.038
23, 1.722, 0.665751, 98.3186, -0.000976562, -0.00195312, 0, -0.168945, 0.304688, -9.72949, 1.13.2022 15:46:15.046
24, 1.722, 0.665751, 98.3186, -0.000976562, -0.00195312, -0.000976562, -0.114258, 0.328125, -9.72461, 1.13.2022 15:46:15.054
25, 1.722, 0.665751, 98.3186, -0.000976562, 0, -0.000976562, -0.0830078, 0.299805, -9.72363, 1.13.2022 15:46:15.062
26, 1.722, 0.665751, 98.3186, 0.000976562, -0.000976562, 0, -0.138672, 0.295898, -9.76367, 1.13.2022 15:46:15.070
27, 1.722, 0.665751, 98.3186, -0.000976562, 0.000976562, -0.000976562, -0.0878906, 0.295898, -9.74023, 1.13.2022 15:46:15.078
28, 1.722, 0.665751, 98.3186, 0.000976562, 0.00195312, -0.000976562, -0.123047, 0.301758, -9.69238, 1.13.2022 15:46:15.086
29, 1.722, 0.665751, 98.3186, -0.000976562, 0, 0, -0.178711, 0.292969, -9.7207, 1.13.2022 15:46:15.094
30, 1.722, 0.665751, 98.3186, -0.00292969, 0.00195312, -0.000976562, -0.0869141, 0.260742, -9.68262, 1.13.2022 15:46:15.102
31, 1.73186, 0.666469, 98.3184, -0.00390625, 0, -0.00195312, -0.186523, 0.300781, -9.66797, 1.13.2022 15:46:15.110
32, 1.73186, 0.666469, 98.3184, -0.00195312, -0.00195312, 0, -0.111328, 0.308594, -9.69043, 1.13.2022 15:46:15.118
33, 1.73186, 0.666469, 98.3184, -0.000976562, -0.000976562, -0.000976562, -0.0849609, 0.304688, -9.72852, 1.13.2022 15:46:15.126
34, 1.73186, 0.666469, 98.3184, -0.000976562, -0.00195312, -0.000976562, -0.124023, 0.338867, -9.74609, 1.13.2022 15:46:15.134
35, 1.73643, 0.67176, 98.3182, 0, -0.00195312, 0, -0.0234375, 0.297852, -9.74902, 1.13.2022 15:46:15.142
36, 1.73643, 0.67176, 98.3182, 0, -0.00195312, -0.000976562, -0.112305, 0.298828, -9.76562, 1.13.2022 15:46:15.150
37, 1.73643, 0.67176, 98.3182, 0, 0, -0.000976562, -0.109375, 0.269531, -9.74316, 1.13.2022 15:46:15.158
38, 1.73661, 0.671814, 98.328, 0, 0.000976562, -0.000976562, -0.0957031, 0.243164, -9.76562, 1.13.2022 15:46:15.166
39, 1.73186, 0.666469, 98.3184, -0.000976562, 0.00195312, 0, -0.179688, 0.257812, -9.66406, 1.13.2022 15:46:15.174
40, 1.73186, 0.666469, 98.3184, -0.000976562, 0.000976562, 0, -0.144531, 0.282227, -9.69043, 1.13.2022 15:46:15.182
41, 1.73186, 0.666469, 98.3184, -0.000976562, 0.000976562, -0.000976562, -0.170898, 0.296875, -9.70117, 1.13.2022 15:46:15.190
42, 1.73186, 0.666469, 98.3184, -0.00195312, -0.000976562, -0.000976562, -0.182617, 0.290039, -9.71289, 1.13.2022 15:46:15.198
43, 1.73661, 0.671814, 98.328, -0.00195312, -0.00195312, 0, -0.0664062, 0.28418, -9.75098, 1.13.2022 15:46:15.206
44, 1.73114, 0.676333, 98.3182, -0.00195312, -0.00195312, 0, -0.0859375, 0.310547, -9.77051, 1.13.2022 15:46:15.214
45, 1.73114, 0.676333, 98.3182, -0.000976562, -0.00195312, 0, -0.102539, 0.331055, -9.7373, 1.13.2022 15:46:15.222
46, 1.73114, 0.676333, 98.3182, 0, -0.00195312, -0.000976562, -0.0410156, 0.303711, -9.78613, 1.13.2022 15:46:15.230
47, 1.73114, 0.676333, 98.3182, 0, -0.000976562, -0.000976562, -0.145508, 0.335938, -9.74512, 1.13.2022 15:46:15.238
48, 1.73114, 0.676333, 98.3182, 0.00195312, 0, 0, -0.0664062, 0.3125, -9.73535, 1.13.2022 15:46:15.246
49, 1.73114, 0.676333, 98.3182, 0, 0.000976562, -0.000976562, -0.0830078, 0.288086, -9.73145, 1.13.2022 15:46:15.254
50, 1.73114, 0.676333, 98.3182, 0, 0.000976562, 0, -0.135742, 0.273438, -9.72852, 1.13.2022 15:46:15.262
51, 1.73643, 0.67176, 98.3182, 0, 0.000976562, -0.000976562, -0.0878906, 0.229492, -9.70703, 1.13.2022 15:46:15.270
52, 1.73186, 0.666469, 98.3184, -0.00195312, 0, -0.000976562, -0.147461, 0.223633, -9.73242, 1.13.2022 15:46:15.278
53, 1.73204, 0.666522, 98.3282, -0.00195312, 0, -0.000976562, -0.154297, 0.279297, -9.68555, 1.13.2022 15:46:15.286
54, 1.73204, 0.666522, 98.3282, -0.00292969, -0.00195312, 0, -0.104492, 0.276367, -9.75, 1.13.2022 15:46:15.294
55, 1.73186, 0.666469, 98.3184, -0.00292969, -0.00195312, 0, -0.152344, 0.337891, -9.72656, 1.13.2022 15:46:15.302
56, 1.73186, 0.666469, 98.3184, -0.00292969, -0.00195312, 0, -0.078125, 0.329102, -9.74023, 1.13.2022 15:46:15.310
57, 1.73186, 0.666469, 98.3184, -0.00195312, -0.000976562, 0, -0.0693359, 0.329102, -9.74219, 1.13.2022 15:46:15.318
58, 1.73186, 0.666469, 98.3184, -0.00195312, -0.00195312, -0.000976562, -0.147461, 0.338867, -9.75488, 1.13.2022 15:46:15.326
59, 1.73186, 0.666469, 98.3184, 0, -0.000976562, -0.000976562, -0.0380859, 0.300781, -9.74805, 1.13.2022 15:46:15.334
60, 1.73186, 0.666469, 98.3184, 0.00195312, 0, -0.000976562, -0.128906, 0.303711, -9.76074, 1.13.2022 15:46:15.342
61, 1.73204, 0.666522, 98.3282, 0.00195312, 0, -0.000976562, -0.142578, 0.319336, -9.73145, 1.13.2022 15:46:15.350
62, 1.73204, 0.666522, 98.3282, 0.00292969, 0.000976562, 0, -0.0849609, 0.283203, -9.72656, 1.13.2022 15:46:15.358
63, 1.73186, 0.666469, 98.3184, 0.00292969, 0, 0, -0.185547, 0.271484, -9.73242, 1.13.2022 15:46:15.366
64, 1.73186, 0.666469, 98.3184, 0.00195312, 0, -0.000976562, -0.142578, 0.208984, -9.73047, 1.13.2022 15:46:15.374
65, 1.73186, 0.666469, 98.3184, 0.000976562, -0.000976562, -0.000976562, -0.140625, 0.228516, -9.73242, 1.13.2022 15:46:15.382
66, 1.73204, 0.666522, 98.3282, 0.000976562, 0, -0.000976562, -0.175781, 0.272461, -9.69043, 1.13.2022 15:46:15.390
