Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.88707, 0.378585, 347.136, -0.00195312, 0.00195312, -0.000976562, -0.0654297, 0.324219, -9.80859, 1.11.2022 19:4:42.212
1, 1.89323, 0.370853, 347.136, -0.00195312, 0.00195312, -0.000976562, -0.0917969, 0.335938, -9.80078, 1.11.2022 19:4:42.220
2, 1.89323, 0.370853, 347.136, -0.00195312, 0.000976562, -0.000976562, -0.0458984, 0.303711, -9.79492, 1.11.2022 19:4:42.228
3, 1.89323, 0.370853, 347.136, -0.00195312, 0.000976562, 0.000976562, -0.09375, 0.352539, -9.80469, 1.11.2022 19:4:42.236
4, 1.89323, 0.370853, 347.136, -0.000976562, 0.00195312, 0, -0.0410156, 0.348633, -9.77246, 1.11.2022 19:4:42.244
5, 1.89323, 0.370853, 347.136, -0.00195312, 0.000976562, 0, -0.0244141, 0.30957, -9.80469, 1.11.2022 19:4:42.252
6, 1.89323, 0.370853, 347.136, -0.00195312, 0.00195312, 0.000976562, -0.120117, 0.357422, -9.80176, 1.11.2022 19:4:42.260
7, 1.89323, 0.370853, 347.136, -0.00195312, 0.000976562, 0, -0.0283203, 0.329102, -9.75488, 1.11.2022 19:4:42.268
8, 1.89323, 0.370853, 347.136, -0.000976562, 0.00195312, 0, -0.0458984, 0.31543, -9.76465, 1.11.2022 19:4:42.276
9, 1.89323, 0.370853, 347.136, -0.00292969, 0.000976562, 0.000976562, -0.0791016, 0.337891, -9.80762, 1.11.2022 19:4:42.284
10, 1.90018, 0.37007, 347.136, -0.000976562, 0.00195312, 0.000976562, 0.0107422, 0.335938, -9.83105, 1.11.2022 19:4:42.292
11, 1.90018, 0.37007, 347.136, -0.000976562, 0.00195312, 0, -0.0869141, 0.336914, -9.84082, 1.11.2022 19:4:42.300
12, 1.89938, 0.363008, 347.13, -0.000976562, 0.00195312, 0, -0.0703125, 0.326172, -9.82031, 1.11.2022 19:4:42.308
13, 1.89938, 0.363008, 347.13, -0.00195312, 0.00195312, 0, -0.0175781, 0.330078, -9.7832, 1.11.2022 19:4:42.316
14, 1.89938, 0.363008, 347.13, -0.00195312, 0.00195312, 0, -0.0976562, 0.322266, -9.77051, 1.11.2022 19:4:42.324
15, 1.89938, 0.363008, 347.13, -0.00195312, 0.000976562, -0.000976562, -0.0507812, 0.308594, -9.77637, 1.11.2022 19:4:42.332
16, 1.89938, 0.363008, 347.13, -0.00195312, 0.000976562, 0, -0.0556641, 0.326172, -9.81543, 1.11.2022 19:4:42.340
17, 1.89938, 0.363008, 347.13, -0.00195312, 0, 0.000976562, -0.12207, 0.351562, -9.76953, 1.11.2022 19:4:42.348
18, 1.89938, 0.363008, 347.13, -0.000976562, 0.000976562, -0.000976562, -0.0146484, 0.337891, -9.80469, 1.11.2022 19:4:42.356
19, 1.89938, 0.363008, 347.13, -0.00292969, 0.000976562, -0.000976562, -0.0693359, 0.313477, -9.77832, 1.11.2022 19:4:42.364
20, 1.90633, 0.362225, 347.13, -0.00195312, 0.00195312, 0.000976562, -0.0546875, 0.339844, -9.77246, 1.11.2022 19:4:42.372
21, 1.90633, 0.362225, 347.13, -0.000976562, 0.00195312, 0.000976562, -0.0361328, 0.337891, -9.80176, 1.11.2022 19:4:42.380
22, 1.90554, 0.355276, 347.13, -0.00195312, 0.000976562, 0, -0.0888672, 0.355469, -9.8125, 1.11.2022 19:4:42.388
23, 1.90554, 0.355276, 347.13, -0.00195312, 0.000976562, 0.000976562, -0.0869141, 0.347656, -9.80566, 1.11.2022 19:4:42.396
24, 1.90554, 0.355276, 347.13, -0.00195312, 0.000976562, 0.000976562, -0.0458984, 0.323242, -9.80664, 1.11.2022 19:4:42.404
25, 1.90554, 0.355276, 347.13, -0.000976562, 0.00195312, 0, -0.117188, 0.347656, -9.79102, 1.11.2022 19:4:42.412
26, 1.90554, 0.355276, 347.13, -0.000976562, 0.000976562, -0.000976562, -0.0107422, 0.34082, -9.83008, 1.11.2022 19:4:42.420
27, 1.90554, 0.355276, 347.13, -0.000976562, 0.000976562, 0, -0.0625, 0.318359, -9.80371, 1.11.2022 19:4:42.428
28, 1.90554, 0.355276, 347.13, -0.000976562, 0.000976562, 0, -0.0644531, 0.34082, -9.75391, 1.11.2022 19:4:42.436
29, 1.90554, 0.355276, 347.13, -0.00195312, 0.00195312, 0, -0.0292969, 0.334961, -9.77832, 1.11.2022 19:4:42.444
30, 1.91249, 0.354493, 347.13, -0.00195312, 0.00195312, 0.000976562, -0.0820312, 0.342773, -9.7959, 1.11.2022 19:4:42.452
31, 1.94722, 0.350576, 347.13, 0, -0.000976562, 0, -0.0585938, 0.358398, -9.83398, 1.11.2022 19:4:42.460
32, 1.94722, 0.350576, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0302734, 0.310547, -9.85449, 1.11.2022 19:4:42.468
33, 1.95417, 0.349792, 347.13, 0, -0.000976562, -0.000976562, -0.0986328, 0.361328, -9.79492, 1.11.2022 19:4:42.476
34, 1.95417, 0.349792, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0263672, 0.353516, -9.78223, 1.11.2022 19:4:42.484
35, 1.95417, 0.349792, 347.13, 0, -0.00195312, -0.00195312, -0.0390625, 0.342773, -9.80176, 1.11.2022 19:4:42.492
36, 1.95417, 0.349792, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0810547, 0.361328, -9.76953, 1.11.2022 19:4:42.500
37, 1.95417, 0.349792, 347.13, 0, -0.000976562, -0.000976562, -0.0244141, 0.279297, -9.76562, 1.11.2022 19:4:42.508
38, 1.95417, 0.349792, 347.13, -0.000976562, 0, -0.000976562, -0.0791016, 0.330078, -9.78223, 1.11.2022 19:4:42.516
39, 1.95417, 0.349792, 347.13, -0.00195312, 0, -0.000976562, -0.0791016, 0.359375, -9.78809, 1.11.2022 19:4:42.524
40, 1.95338, 0.342843, 347.13, -0.00195312, 0, -0.000976562, -0.0253906, 0.308594, -9.85449, 1.11.2022 19:4:42.532
41, 1.95338, 0.342843, 347.13, 0, 0, -0.000976562, -0.12207, 0.345703, -9.81152, 1.11.2022 19:4:42.540
42, 1.95338, 0.342843, 347.13, -0.000976562, 0, 0, -0.0458984, 0.344727, -9.77734, 1.11.2022 19:4:42.548
43, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, 0, -0.0224609, 0.307617, -9.81934, 1.11.2022 19:4:42.556
44, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0820312, 0.342773, -9.78906, 1.11.2022 19:4:42.564
45, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.00195312, -0.0410156, 0.342773, -9.80566, 1.11.2022 19:4:42.572
46, 1.95338, 0.342843, 347.13, -0.000976562, 0, 0, -0.0537109, 0.328125, -9.81055, 1.11.2022 19:4:42.580
47, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.000976562, -0.105469, 0.341797, -9.78418, 1.11.2022 19:4:42.588
48, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, 0.000976562, 0.330078, -9.85645, 1.11.2022 19:4:42.596
49, 1.95338, 0.342843, 347.13, 0, 0, -0.00195312, -0.0634766, 0.333984, -9.84375, 1.11.2022 19:4:42.604
50, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0869141, 0.357422, -9.80273, 1.11.2022 19:4:42.612
51, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.000976562, -0.0439453, 0.298828, -9.79297, 1.11.2022 19:4:42.620
52, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.108398, 0.329102, -9.82617, 1.11.2022 19:4:42.628
53, 1.95338, 0.342843, 347.13, -0.000976562, 0, 0, -0.0537109, 0.329102, -9.81543, 1.11.2022 19:4:42.636
54, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0253906, 0.314453, -9.82129, 1.11.2022 19:4:42.644
55, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.000976562, -0.0888672, 0.360352, -9.82617, 1.11.2022 19:4:42.652
56, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0205078, 0.353516, -9.83691, 1.11.2022 19:4:42.660
57, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.000976562, -0.0673828, 0.34082, -9.81543, 1.11.2022 19:4:42.668
58, 1.95338, 0.342843, 347.13, 0, 0, -0.000976562, -0.0644531, 0.339844, -9.78027, 1.11.2022 19:4:42.676
59, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0078125, 0.310547, -9.77637, 1.11.2022 19:4:42.684
60, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.000976562, -0.0820312, 0.335938, -9.81055, 1.11.2022 19:4:42.692
61, 1.95338, 0.342843, 347.13, -0.00195312, -0.00195312, -0.000976562, -0.0478516, 0.366211, -9.79102, 1.11.2022 19:4:42.700
62, 1.9526, 0.335894, 347.13, 0, -0.000976562, -0.000976562, -0.0371094, 0.337891, -9.81348, 1.11.2022 19:4:42.708
63, 1.9526, 0.335894, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0986328, 0.342773, -9.8125, 1.11.2022 19:4:42.716
64, 1.9526, 0.335894, 347.13, -0.000976562, -0.000976562, 0.000976562, -0.0410156, 0.308594, -9.77832, 1.11.2022 19:4:42.724
65, 1.9526, 0.335894, 347.13, 0, -0.000976562, 0.000976562, -0.0849609, 0.327148, -9.84863, 1.11.2022 19:4:42.732
66, 1.95338, 0.342843, 347.13, 0, -0.000976562, -0.000976562, -0.0976562, 0.351562, -9.78125, 1.11.2022 19:4:42.740
67, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.000976562, -0.0146484, 0.337891, -9.80176, 1.11.2022 19:4:42.748
68, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0878906, 0.334961, -9.85547, 1.11.2022 19:4:42.756
69, 1.95338, 0.342843, 347.13, -0.000976562, 0, -0.00195312, -0.0722656, 0.331055, -9.80859, 1.11.2022 19:4:42.764
70, 1.95338, 0.342843, 347.13, 0, 0, -0.000976562, -0.0244141, 0.325195, -9.78125, 1.11.2022 19:4:42.772
71, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.113281, 0.331055, -9.80078, 1.11.2022 19:4:42.780
72, 1.95338, 0.342843, 347.13, -0.000976562, 0, 0.000976562, -0.0361328, 0.31543, -9.77832, 1.11.2022 19:4:42.788
73, 1.95338, 0.342843, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0224609, 0.319336, -9.81152, 1.11.2022 19:4:42.796
74, 1.95338, 0.342843, 347.13, 0, -0.000976562, -0.000976562, -0.0800781, 0.350586, -9.81934, 1.11.2022 19:4:42.804
75, 1.95338, 0.342843, 347.13, 0, 0, -0.000976562, -0.0175781, 0.326172, -9.80176, 1.11.2022 19:4:42.812
76, 1.9526, 0.335894, 347.13, 0, 0, 0.000976562, -0.0625, 0.314453, -9.81348, 1.11.2022 19:4:42.820
77, 1.9526, 0.335894, 347.13, -0.000976562, -0.00195312, 0.000976562, -0.0888672, 0.351562, -9.77637, 1.11.2022 19:4:42.828
78, 1.9526, 0.335894, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0175781, 0.314453, -9.81445, 1.11.2022 19:4:42.836
79, 1.94565, 0.336678, 347.13, -0.00195312, 0, 0, -0.0839844, 0.313477, -9.79395, 1.11.2022 19:4:42.844
80, 1.94565, 0.336678, 347.13, -0.000976562, 0, -0.000976562, -0.0390625, 0.319336, -9.81641, 1.11.2022 19:4:42.852
81, 1.94565, 0.336678, 347.13, -0.000976562, -0.000976562, -0.00195312, -0.0195312, 0.348633, -9.78027, 1.11.2022 19:4:42.860
82, 1.94565, 0.336678, 347.13, -0.000976562, 0, -0.000976562, -0.102539, 0.394531, -9.76562, 1.11.2022 19:4:42.868
83, 1.94565, 0.336678, 347.13, 0, 0, -0.00195312, -0.03125, 0.375, -9.7627, 1.11.2022 19:4:42.876
84, 1.9526, 0.335894, 347.13, 0, 0, -0.000976562, -0.0693359, 0.389648, -9.77832, 1.11.2022 19:4:42.884
85, 1.9526, 0.335894, 347.13, 0.00195312, 0, 0.000976562, -0.112305, 0.358398, -9.77637, 1.11.2022 19:4:42.892
86, 1.9526, 0.335894, 347.13, 0.00195312, 0, 0.000976562, -0.0263672, 0.291016, -9.75391, 1.11.2022 19:4:42.900
87, 1.9526, 0.335894, 347.13, 0, -0.000976562, 0.000976562, -0.0751953, 0.297852, -9.80957, 1.11.2022 19:4:42.908
88, 1.9526, 0.335894, 347.13, 0, -0.00195312, 0, -0.0664062, 0.295898, -9.85449, 1.11.2022 19:4:42.916
89, 1.9526, 0.335894, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0078125, 0.294922, -9.80762, 1.11.2022 19:4:42.924
90, 1.9526, 0.335894, 347.13, -0.000976562, 0, -0.000976562, -0.111328, 0.34082, -9.83301, 1.11.2022 19:4:42.932
91, 1.9526, 0.335894, 347.13, -0.00195312, -0.000976562, -0.000976562, -0.0644531, 0.320312, -9.78516, 1.11.2022 19:4:42.940
92, 1.9526, 0.335894, 347.13, -0.00195312, -0.000976562, -0.000976562, -0.0224609, 0.290039, -9.79883, 1.11.2022 19:4:42.948
93, 1.94565, 0.336678, 347.13, -0.000976562, -0.000976562, -0.000976562, -0.0908203, 0.351562, -9.7627, 1.11.2022 19:4:42.956
94, 1.94565, 0.336678, 347.13, -0.000976562, -0.000976562, 0.000976562, -0.0146484, 0.369141, -9.7959, 1.11.2022 19:4:42.964
95, 1.94565, 0.336678, 347.13, 0, -0.000976562, -0.000976562, -0.0771484, 0.369141, -9.79785, 1.11.2022 19:4:42.972
96, 1.94565, 0.336678, 347.13, 0, 0, -0.000976562, -0.0908203, 0.392578, -9.79883, 1.11.2022 19:4:42.980
97, 1.9526, 0.335894, 347.13, 0.000976562, -0.000976562, 0, -0.0185547, 0.373047, -9.85254, 1.11.2022 19:4:42.988
98, 1.9526, 0.335894, 347.13, 0.000976562, -0.00195312, 0, -0.0917969, 0.299805, -9.80859, 1.11.2022 19:4:42.996
99, 1.9526, 0.335894, 347.13, 0, -0.000976562, -0.000976562, -0.0458984, 0.292969, -9.81445, 1.11.2022 19:4:43.004
100, 1.9526, 0.335894, 347.13, 0.000976562, -0.000976562, -0.000976562, -0.0185547, 0.272461, -9.87207, 1.11.2022 19:4:43.012
101, 1.94565, 0.336678, 347.13, 0, 0, 0, -0.118164, 0.3125, -9.81738, 1.11.2022 19:4:43.020
102, 1.94565, 0.336678, 347.13, -0.00195312, 0, 0, -0.0195312, 0.305664, -9.76465, 1.11.2022 19:4:43.028
103, 1.94565, 0.336678, 347.13, -0.00195312, -0.000976562, -0.000976562, -0.0507812, 0.349609, -9.78711, 1.11.2022 19:4:43.036
