Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 15.818, 88.7166, 88.0925, 0.000976562, 0, -0.000976562, 9.85938, -0.0820312, -0.282227, 11.29.2021 15:25:11.434
1, 15.818, 88.7166, 88.0925, 0, -0.000976562, 0, 9.86035, -0.0585938, -0.203125, 11.29.2021 15:25:11.438
2, 15.9822, 88.5904, 88.3409, 0, 0, -0.000976562, 9.87695, -0.0498047, -0.231445, 11.29.2021 15:25:11.444
3, 15.8614, 88.4351, 88.3444, 0, -0.000976562, 0, 9.90137, -0.0283203, -0.226562, 11.29.2021 15:25:11.452
4, 15.6519, 88.5875, 88.0087, 0, -0.000976562, -0.000976562, 9.8584, -0.0410156, -0.216797, 11.29.2021 15:25:11.460
5, 15.4881, 88.7134, 87.7603, 0, -0.000976562, -0.000976562, 9.85547, -0.046875, -0.198242, 11.29.2021 15:25:11.468
6, 15.4881, 88.7134, 87.7603, 0.000976562, -0.00195312, -0.000976562, 9.86328, -0.0458984, -0.205078, 11.29.2021 15:25:11.476
7, 15.4881, 88.7134, 87.7603, 0.000976562, -0.00195312, 0, 9.88379, -0.0400391, -0.234375, 11.29.2021 15:25:11.484
8, 15.4881, 88.7134, 87.7603, 0.000976562, -0.000976562, -0.000976562, 9.84863, -0.0654297, -0.214844, 11.29.2021 15:25:11.492
9, 15.0654, 88.5883, 87.4234, 0, -0.000976562, -0.000976562, 9.86816, -0.0722656, -0.21582, 11.29.2021 15:25:11.500
10, 15.0654, 88.5883, 87.4234, 0, -0.000976562, 0, 9.86816, -0.0556641, -0.203125, 11.29.2021 15:25:11.508
11, 15.0654, 88.5883, 87.4234, 0.000976562, -0.000976562, 0, 9.8916, -0.0654297, -0.197266, 11.29.2021 15:25:11.516
12, 15.0654, 88.5883, 87.4234, 0, 0, -0.000976562, 9.875, -0.0595703, -0.244141, 11.29.2021 15:25:11.524
13, 14.901, 88.7143, 87.173, 0, -0.000976562, -0.000976562, 9.85645, -0.0722656, -0.204102, 11.29.2021 15:25:11.532
14, 15.107, 88.5486, 87.5083, -0.00195312, -0.000976562, -0.000976562, 9.84375, -0.0703125, -0.193359, 11.29.2021 15:25:11.540
15, 15.2285, 88.7175, 87.503, -0.00195312, -0.000976562, 0, 9.8418, -0.0566406, -0.183594, 11.29.2021 15:25:11.548
16, 15.2285, 88.7175, 87.503, -0.00195312, -0.000976562, 0.000976562, 9.86035, -0.0488281, -0.257812, 11.29.2021 15:25:11.556
