Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.92954, 0.194729, 55.5917, 0, 0.00195312, 0.00292969, -0.0351562, 0.332031, -9.86035, 12.2.2021 17:51:10.039
1, 1.92954, 0.194729, 55.5917, 0, 0.00195312, 0.00292969, -0.110352, 0.328125, -9.79785, 12.2.2021 17:51:10.047
2, 1.92954, 0.194729, 55.5917, -0.000976562, 0.000976562, 0.00195312, -0.0722656, 0.331055, -9.81543, 12.2.2021 17:51:10.055
3, 1.92954, 0.194729, 55.5917, 0, 0.000976562, 0.00292969, -0.0507812, 0.316406, -9.81152, 12.2.2021 17:51:10.063
4, 1.93298, 0.188433, 55.5883, -0.000976562, 0.000976562, 0.00292969, -0.143555, 0.336914, -9.77148, 12.2.2021 17:51:10.071
5, 1.93298, 0.188433, 55.5883, 0, 0.000976562, 0.00292969, -0.0644531, 0.336914, -9.75879, 12.2.2021 17:51:10.079
6, 1.93298, 0.188433, 55.5883, 0, 0.00195312, 0.00292969, -0.0576172, 0.336914, -9.76562, 12.2.2021 17:51:10.087
7, 1.93298, 0.188433, 55.5883, 0, 0.00195312, 0.00292969, -0.115234, 0.337891, -9.78613, 12.2.2021 17:51:10.095
8, 1.93298, 0.188433, 55.5883, 0, 0.00195312, 0.00488281, -0.0410156, 0.300781, -9.7627, 12.2.2021 17:51:10.103
9, 1.93285, 0.188278, 55.5764, 0.000976562, 0.000976562, 0.00292969, -0.0888672, 0.319336, -9.81738, 12.2.2021 17:51:10.111
10, 1.93285, 0.188278, 55.5764, 0.000976562, 0.000976562, 0.00292969, -0.100586, 0.339844, -9.78125, 12.2.2021 17:51:10.119
11, 1.93285, 0.188278, 55.5764, 0, 0.000976562, 0.00292969, -0.03125, 0.337891, -9.79883, 12.2.2021 17:51:10.127
12, 1.93285, 0.188278, 55.5764, 0, 0.00195312, 0.00292969, -0.143555, 0.373047, -9.77246, 12.2.2021 17:51:10.135
13, 1.93009, 0.178722, 55.5732, 0, 0.00195312, 0.00488281, -0.0771484, 0.320312, -9.78516, 12.2.2021 17:51:10.143
14, 1.93009, 0.178722, 55.5732, 0, 0.00195312, 0.00292969, -0.100586, 0.318359, -9.79395, 12.2.2021 17:51:10.151
15, 1.93009, 0.178722, 55.5732, -0.000976562, 0.00195312, 0.00195312, -0.151367, 0.333984, -9.81445, 12.2.2021 17:51:10.159
16, 1.93009, 0.178722, 55.5732, 0, 0.00292969, 0.00292969, -0.0576172, 0.332031, -9.77539, 12.2.2021 17:51:10.167
17, 1.92979, 0.178677, 55.5648, 0, 0.00195312, 0.00292969, -0.0927734, 0.336914, -9.76953, 12.2.2021 17:51:10.175
18, 1.92996, 0.178568, 55.5613, -0.000976562, 0.00195312, 0.00292969, -0.112305, 0.356445, -9.77637, 12.2.2021 17:51:10.183
19, 1.93322, 0.172381, 55.5614, -0.000976562, 0.00292969, 0.00195312, -0.0292969, 0.316406, -9.79297, 12.2.2021 17:51:10.191
20, 1.93322, 0.172381, 55.5614, 0, 0.00195312, 0.00195312, -0.118164, 0.331055, -9.8125, 12.2.2021 17:51:10.199
21, 1.93322, 0.172381, 55.5614, 0, 0.00195312, 0.00292969, -0.0869141, 0.328125, -9.79883, 12.2.2021 17:51:10.207
22, 1.93322, 0.172381, 55.5614, 0, 0.00195312, 0.00292969, -0.0722656, 0.328125, -9.81055, 12.2.2021 17:51:10.215
23, 1.92721, 0.169013, 55.558, 0, 0.00195312, 0.00292969, -0.133789, 0.369141, -9.79004, 12.2.2021 17:51:10.223
24, 1.93047, 0.162826, 55.5581, -0.000976562, 0.00195312, 0.00292969, -0.0292969, 0.330078, -9.78027, 12.2.2021 17:51:10.231
25, 1.93047, 0.162826, 55.5581, 0, 0.00195312, 0.00195312, -0.0839844, 0.351562, -9.77246, 12.2.2021 17:51:10.239
