Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.79179, 0.080081, 62.4464, 0.000976562, 0, 0, -0.0644531, 0.333984, -9.74219, 1.12.2022 16:21:7.981
1, 1.79179, 0.080081, 62.4464, 0.000976562, -0.000976562, -0.000976562, 0.0419922, 0.246094, -9.79102, 1.12.2022 16:21:7.985
2, 1.79179, 0.080081, 62.4464, 0.000976562, 0, 0, -0.0078125, 0.25293, -9.77637, 1.12.2022 16:21:7.993
3, 1.79207, 0.0801335, 62.4553, -0.000976562, 0.000976562, -0.00292969, -0.0400391, 0.286133, -9.74121, 1.12.2022 16:21:8.001
4, 1.79442, 0.0897385, 62.4551, -0.000976562, 0, -0.00488281, 0.0429688, 0.28125, -9.75684, 1.12.2022 16:21:8.009
5, 1.79442, 0.0897385, 62.4551, -0.00292969, -0.000976562, -0.00390625, -0.0517578, 0.30957, -9.73828, 1.12.2022 16:21:8.017
6, 1.79442, 0.0897385, 62.4551, -0.00292969, 0, -0.00292969, -0.0263672, 0.322266, -9.77637, 1.12.2022 16:21:8.025
7, 1.8004, 0.0933636, 62.455, -0.00292969, -0.000976562, -0.00195312, 0.0117188, 0.27832, -9.75, 1.12.2022 16:21:8.033
8, 1.79678, 0.0993434, 62.4549, -0.000976562, -0.000976562, -0.00292969, -0.0576172, 0.324219, -9.75879, 1.12.2022 16:21:8.041
9, 1.7966, 0.0994403, 62.4577, -0.000976562, -0.000976562, -0.00292969, 0.0527344, 0.301758, -9.72852, 1.12.2022 16:21:8.049
10, 1.80258, 0.103066, 62.4575, -0.00292969, 0, -0.00390625, 0.0302734, 0.3125, -9.77246, 1.12.2022 16:21:8.057
11, 1.80258, 0.103066, 62.4575, -0.000976562, 0, -0.00488281, 0.0107422, 0.323242, -9.80078, 1.12.2022 16:21:8.065
12, 1.79895, 0.109046, 62.4575, 0, -0.000976562, -0.00683594, 0.0791016, 0.266602, -9.73438, 1.12.2022 16:21:8.073
13, 1.79905, 0.109194, 62.4692, -0.00195312, 0, -0.00976562, -0.0205078, 0.285156, -9.7207, 1.12.2022 16:21:8.081
14, 1.80503, 0.11282, 62.469, -0.000976562, -0.000976562, -0.0136719, 0.03125, 0.256836, -9.75293, 1.12.2022 16:21:8.089
15, 1.80513, 0.112969, 62.4807, 0, -0.000976562, -0.0166016, 0.0595703, 0.202148, -9.75, 1.12.2022 16:21:8.097
16, 1.80496, 0.113067, 62.4835, -0.000976562, 0, -0.0205078, -0.0117188, 0.207031, -9.73242, 1.12.2022 16:21:8.105
17, 1.80143, 0.119195, 62.4951, 0, -0.000976562, -0.0244141, 0.0527344, 0.192383, -9.75488, 1.12.2022 16:21:8.113
18, 1.79538, 0.115813, 62.5098, 0, -0.00195312, -0.0263672, 0.0527344, 0.206055, -9.72168, 1.12.2022 16:21:8.121
19, 1.79548, 0.115961, 62.5214, -0.000976562, -0.000976562, -0.0283203, 0.0283203, 0.264648, -9.75781, 1.12.2022 16:21:8.129
20, 1.7954, 0.116206, 62.5359, -0.00195312, -0.000976562, -0.03125, 0.102539, 0.243164, -9.76367, 1.12.2022 16:21:8.137
21, 1.79533, 0.116452, 62.5503, -0.00195312, -0.000976562, -0.0351562, -0.00488281, 0.25, -9.74805, 1.12.2022 16:21:8.145
22, 1.79525, 0.116697, 62.5648, -0.00195312, -0.000976562, -0.0371094, -0.00292969, 0.272461, -9.76172, 1.12.2022 16:21:8.153
23, 1.7892, 0.113311, 62.5794, -0.000976562, 0, -0.0390625, 0.0595703, 0.261719, -9.75586, 1.12.2022 16:21:8.161
24, 1.7894, 0.113606, 62.6027, -0.000976562, 0.000976562, -0.0419922, -0.0400391, 0.269531, -9.75098, 1.12.2022 16:21:8.169
25, 1.78335, 0.110217, 62.6173, -0.000976562, 0, -0.0439453, 0.0273438, 0.280273, -9.71191, 1.12.2022 16:21:8.177
26, 1.78338, 0.110608, 62.6435, -0.000976562, 0, -0.0458984, -0.00195312, 0.276367, -9.74512, 1.12.2022 16:21:8.185
27, 1.77733, 0.107216, 62.6581, 0, 0, -0.046875, -0.0498047, 0.307617, -9.74316, 1.12.2022 16:21:8.193
28, 1.77736, 0.107606, 62.6842, 0.000976562, -0.000976562, -0.0488281, 0.0185547, 0.325195, -9.77637, 1.12.2022 16:21:8.201
29, 1.77114, 0.104306, 62.7015, 0, 0, -0.0498047, -0.0458984, 0.322266, -9.7666, 1.12.2022 16:21:8.209
30, 1.77116, 0.104695, 62.7276, -0.000976562, 0.000976562, -0.0517578, -0.0283203, 0.300781, -9.75781, 1.12.2022 16:21:8.217
31, 1.76522, 0.101442, 62.7538, -0.000976562, 0, -0.0517578, -0.000976562, 0.279297, -9.78223, 1.12.2022 16:21:8.225
32, 1.76541, 0.101734, 62.7772, 0, 0.000976562, -0.0537109, -0.109375, 0.285156, -9.71875, 1.12.2022 16:21:8.233
33, 1.7592, 0.0984278, 62.7945, 0, 0.00195312, -0.0537109, -0.0478516, 0.286133, -9.75781, 1.12.2022 16:21:8.241
34, 1.75326, 0.0951693, 62.8207, 0, 0.000976562, -0.0537109, -0.0546875, 0.300781, -9.76172, 1.12.2022 16:21:8.249
35, 1.75328, 0.095554, 62.8468, 0, 0.000976562, -0.0537109, -0.125977, 0.324219, -9.74609, 1.12.2022 16:21:8.257
36, 1.74734, 0.0922917, 62.873, -0.000976562, 0, -0.0527344, -0.0380859, 0.295898, -9.75293, 1.12.2022 16:21:8.265
37, 1.74737, 0.092675, 62.8991, -0.000976562, 0, -0.0507812, -0.116211, 0.333984, -9.73438, 1.12.2022 16:21:8.273
38, 1.74712, 0.0930076, 62.9162, -0.000976562, 0, -0.0498047, -0.0830078, 0.333984, -9.74902, 1.12.2022 16:21:8.281
39, 1.74118, 0.0897402, 62.9424, -0.000976562, 0.000976562, -0.0478516, -0.0576172, 0.336914, -9.76562, 1.12.2022 16:21:8.289
40, 1.74138, 0.0900288, 62.9658, -0.000976562, 0, -0.0458984, -0.109375, 0.370117, -9.75684, 1.12.2022 16:21:8.297
41, 1.74113, 0.09036, 62.9829, -0.000976562, 0.000976562, -0.0400391, -0.140625, 0.396484, -9.76074, 1.12.2022 16:21:8.305
42, 1.74106, 0.0905978, 62.9973, 0, 0, -0.0361328, -0.143555, 0.399414, -9.77246, 1.12.2022 16:21:8.313
43, 1.73733, 0.0967979, 63.0116, -0.000976562, 0, -0.0273438, -0.202148, 0.470703, -9.74316, 1.12.2022 16:21:8.321
44, 1.73743, 0.0969418, 63.0233, 0, 0, -0.0205078, -0.0927734, 0.451172, -9.73633, 1.12.2022 16:21:8.329
45, 1.73753, 0.0970856, 63.035, -0.000976562, 0, -0.0126953, -0.109375, 0.448242, -9.7334, 1.12.2022 16:21:8.337
46, 1.74349, 0.100741, 63.0348, 0, -0.000976562, -0.00585938, -0.152344, 0.499023, -9.74609, 1.12.2022 16:21:8.345
47, 1.73983, 0.106703, 63.0348, -0.000976562, -0.000976562, 0.00195312, -0.0361328, 0.374023, -9.80273, 1.12.2022 16:21:8.353
48, 1.74579, 0.110358, 63.0346, -0.00195312, -0.000976562, 0.00488281, -0.0751953, 0.291992, -9.80176, 1.12.2022 16:21:8.361
49, 1.75175, 0.114013, 63.0345, -0.00195312, 0, 0.00488281, -0.00976562, 0.183594, -9.75, 1.12.2022 16:21:8.369
50, 1.75771, 0.117669, 63.0343, -0.00195312, -0.000976562, 0.000976562, -0.00488281, 0.15918, -9.74805, 1.12.2022 16:21:8.377
51, 1.76002, 0.127286, 63.0342, -0.00292969, -0.000976562, -0.00585938, -0.00195312, 0.292969, -9.7373, 1.12.2022 16:21:8.385
52, 1.76598, 0.130941, 63.034, -0.00195312, -0.00195312, -0.00878906, 0.115234, 0.380859, -9.72949, 1.12.2022 16:21:8.393
53, 1.7658, 0.131037, 63.0367, -0.000976562, -0.00195312, -0.0107422, 0.0400391, 0.320312, -9.79102, 1.12.2022 16:21:8.401
54, 1.76838, 0.140704, 63.0455, -0.000976562, 0, -0.0117188, 0.0683594, 0.275391, -9.81445, 1.12.2022 16:21:8.409
55, 1.77416, 0.144457, 63.048, -0.000976562, 0, -0.0175781, 0.167969, 0.144531, -9.81934, 1.12.2022 16:21:8.417
56, 1.77425, 0.144603, 63.0597, -0.00195312, 0.00195312, -0.0263672, 0.046875, 0.0927734, -9.76758, 1.12.2022 16:21:8.425
57, 1.78013, 0.148503, 63.0739, -0.000976562, 0.00292969, -0.0380859, 0.109375, 0.0224609, -9.76074, 1.12.2022 16:21:8.433
58, 1.78014, 0.148893, 63.1, 0.000976562, 0.00195312, -0.0527344, 0.0507812, -0.0478516, -9.70508, 1.12.2022 16:21:8.441
59, 1.78015, 0.149283, 63.126, 0.000976562, 0.000976562, -0.0654297, -0.0136719, -0.0380859, -9.71289, 1.12.2022 16:21:8.449
60, 1.77999, 0.149771, 63.1547, 0.000976562, 0, -0.0810547, 0.0517578, 0.00683594, -9.76758, 1.12.2022 16:21:8.457
61, 1.77625, 0.156361, 63.1951, 0.000976562, -0.000976562, -0.0947266, -0.00292969, 0.0234375, -9.75684, 1.12.2022 16:21:8.465
62, 1.77031, 0.153473, 63.2473, 0.000976562, 0, -0.107422, -0.0273438, 0.0693359, -9.79297, 1.12.2022 16:21:8.473
63, 1.76666, 0.160202, 63.2992, 0.000976562, 0.000976562, -0.120117, 0.0664062, 0.0351562, -9.77637, 1.12.2022 16:21:8.481
64, 1.76054, 0.157401, 63.3541, -0.000976562, 0.00195312, -0.133789, 0.00195312, 0.0380859, -9.77734, 1.12.2022 16:21:8.489
65, 1.75452, 0.154739, 63.4205, -0.00195312, 0.00390625, -0.146484, 0.00976562, -0.0371094, -9.73047, 1.12.2022 16:21:8.497
66, 1.73888, 0.154338, 63.487, -0.000976562, 0.00488281, -0.161133, -0.000976562, -0.0722656, -9.75879, 1.12.2022 16:21:8.505
67, 1.73277, 0.151893, 63.5677, 0, 0.00585938, -0.176758, -0.0683594, -0.0400391, -9.81348, 1.12.2022 16:21:8.513
68, 1.71704, 0.151695, 63.6485, -0.000976562, 0.00488281, -0.186523, -0.0273438, -0.00976562, -9.77832, 1.12.2022 16:21:8.521
69, 1.70527, 0.145582, 63.7382, 0, 0.00488281, -0.197266, -0.0976562, 0.137695, -9.72852, 1.12.2022 16:21:8.529
70, 1.68919, 0.145526, 63.8241, -0.000976562, 0.00390625, -0.203125, -0.111328, 0.258789, -9.69824, 1.12.2022 16:21:8.537
