Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 1.85369, 359.916, 88.1735, -0.00292969, 0.00195312, 0, 0.0126953, 0.313477, -9.71289, 1.19.2022 19:52:18.741
1, 1.85369, 359.916, 88.1735, -0.00292969, 0.00195312, 0, 0.0556641, 0.291992, -9.72363, 1.19.2022 19:52:18.749
2, 1.85369, 359.916, 88.1735, -0.00292969, 0.000976562, 0, -0.0078125, 0.332031, -9.77832, 1.19.2022 19:52:18.757
3, 1.85369, 359.916, 88.1735, -0.00292969, 0.000976562, 0.000976562, 0.0810547, 0.329102, -9.76074, 1.19.2022 19:52:18.765
4, 1.85855, 359.911, 88.1735, -0.00292969, 0, 0.000976562, 0.0576172, 0.311523, -9.71191, 1.19.2022 19:52:18.773
5, 1.85855, 359.911, 88.1735, -0.00292969, 0.000976562, 0.000976562, 0.0332031, 0.324219, -9.74121, 1.19.2022 19:52:18.781
6, 1.85878, 359.911, 88.1734, -0.00390625, 0.00195312, 0.000976562, 0.0908203, 0.283203, -9.73438, 1.19.2022 19:52:18.789
7, 1.85878, 359.911, 88.1734, -0.00292969, 0.00195312, 0, -0.00292969, 0.305664, -9.7793, 1.19.2022 19:52:18.797
8, 1.85878, 359.911, 88.1734, -0.00292969, 0.000976562, 0.000976562, 0.0439453, 0.308594, -9.71875, 1.19.2022 19:52:18.805
9, 1.86365, 359.906, 88.1734, -0.00292969, 0.00195312, 0.000976562, 0.0478516, 0.316406, -9.73926, 1.19.2022 19:52:18.813
10, 1.86365, 359.906, 88.1734, -0.00390625, 0.000976562, 0.000976562, 0.00292969, 0.333008, -9.72168, 1.19.2022 19:52:18.821
11, 1.86365, 359.906, 88.1734, -0.00390625, 0.000976562, 0, 0.09375, 0.301758, -9.71484, 1.19.2022 19:52:18.829
12, 1.86365, 359.906, 88.1734, -0.00292969, 0.000976562, 0, 0.0117188, 0.300781, -9.76562, 1.19.2022 19:52:18.837
13, 1.87353, 359.906, 88.1732, -0.00292969, 0.000976562, 0.000976562, 0.0263672, 0.331055, -9.72266, 1.19.2022 19:52:18.845
14, 1.87353, 359.906, 88.1732, -0.00390625, 0, 0.000976562, 0.0917969, 0.308594, -9.7002, 1.19.2022 19:52:18.853
15, 1.87353, 359.906, 88.1732, -0.00292969, 0, 0.000976562, 0.0341797, 0.328125, -9.7207, 1.19.2022 19:52:18.861
16, 1.87353, 359.906, 88.1732, -0.00292969, 0.00195312, 0, 0.107422, 0.301758, -9.73633, 1.19.2022 19:52:18.869
17, 1.87353, 359.906, 88.1732, -0.00390625, 0.000976562, 0.000976562, 0.0507812, 0.310547, -9.70898, 1.19.2022 19:52:18.877
18, 1.8784, 359.901, 88.1732, -0.00292969, 0, 0, 0.0146484, 0.333008, -9.71777, 1.19.2022 19:52:18.885
19, 1.87814, 359.901, 88.1633, -0.00292969, 0.000976562, 0.000976562, 0.0839844, 0.311523, -9.71484, 1.19.2022 19:52:18.893
20, 1.87814, 359.901, 88.1633, -0.00390625, 0.00195312, 0, 0.0224609, 0.321289, -9.71777, 1.19.2022 19:52:18.901
21, 1.87814, 359.901, 88.1633, -0.00390625, 0.000976562, 0.000976562, 0.0742188, 0.323242, -9.71387, 1.19.2022 19:52:18.909
22, 1.88301, 359.896, 88.1633, -0.00390625, 0.000976562, 0.000976562, 0.0351562, 0.289062, -9.76855, 1.19.2022 19:52:18.917
23, 1.88301, 359.896, 88.1633, -0.00292969, 0.000976562, 0, -0.00390625, 0.330078, -9.71484, 1.19.2022 19:52:18.925
24, 1.88301, 359.896, 88.1633, -0.00390625, 0.00195312, 0.000976562, 0.0800781, 0.305664, -9.69336, 1.19.2022 19:52:18.933
25, 1.88301, 359.896, 88.1633, -0.00390625, 0.000976562, 0, 0.0595703, 0.314453, -9.73535, 1.19.2022 19:52:18.941
26, 1.88787, 359.891, 88.1633, -0.00292969, 0.000976562, 0.000976562, 0.0410156, 0.350586, -9.75098, 1.19.2022 19:52:18.949
27, 1.88787, 359.891, 88.1633, -0.00292969, 0.000976562, 0, 0.0458984, 0.314453, -9.73535, 1.19.2022 19:52:18.957
28, 1.8881, 359.89, 88.1632, -0.00292969, 0.000976562, 0, 0.00585938, 0.308594, -9.71582, 1.19.2022 19:52:18.965
29, 1.8881, 359.89, 88.1632, -0.00390625, 0.000976562, 0.00195312, 0.0693359, 0.297852, -9.74316, 1.19.2022 19:52:18.973
30, 1.89313, 359.895, 88.163, -0.00292969, 0.00195312, 0.00195312, 0.0380859, 0.307617, -9.74902, 1.19.2022 19:52:18.981
31, 1.8614, 359.767, 88.1654, 0, -0.000976562, 0, 0.0166016, 0.329102, -9.74121, 1.19.2022 19:52:18.989
32, 1.8559, 359.733, 88.166, 0, -0.000976562, 0, 0.117188, 0.296875, -9.72949, 1.19.2022 19:52:18.997
33, 1.8559, 359.733, 88.166, 0, -0.000976562, 0, 0.0078125, 0.355469, -9.74023, 1.19.2022 19:52:19.005
34, 1.8559, 359.733, 88.166, 0, -0.00195312, -0.000976562, 0.0263672, 0.30957, -9.75391, 1.19.2022 19:52:19.013
35, 1.8559, 359.733, 88.166, 0.000976562, -0.00195312, -0.000976562, 0.0556641, 0.318359, -9.71191, 1.19.2022 19:52:19.021
36, 1.8559, 359.733, 88.166, -0.000976562, -0.00195312, 0, -0.00390625, 0.330078, -9.70508, 1.19.2022 19:52:19.029
37, 1.8559, 359.733, 88.166, 0, -0.000976562, -0.000976562, 0.0791016, 0.313477, -9.72168, 1.19.2022 19:52:19.037
38, 1.8559, 359.733, 88.166, -0.000976562, -0.000976562, 0, 0.0214844, 0.324219, -9.75098, 1.19.2022 19:52:19.045
39, 1.8559, 359.733, 88.166, 0, -0.000976562, -0.000976562, 0.0166016, 0.321289, -9.74121, 1.19.2022 19:52:19.053
40, 1.8559, 359.733, 88.166, -0.000976562, 0, -0.000976562, 0.0908203, 0.297852, -9.73828, 1.19.2022 19:52:19.061
41, 1.8559, 359.733, 88.166, 0, -0.000976562, 0, -0.00878906, 0.310547, -9.6875, 1.19.2022 19:52:19.069
42, 1.8559, 359.733, 88.166, 0, -0.000976562, 0, 0.0771484, 0.313477, -9.72656, 1.19.2022 19:52:19.077
43, 1.8559, 359.733, 88.166, 0, -0.000976562, -0.000976562, 0.0595703, 0.313477, -9.78027, 1.19.2022 19:52:19.085
44, 1.8559, 359.733, 88.166, -0.000976562, -0.000976562, -0.000976562, 0.0458984, 0.333008, -9.7207, 1.19.2022 19:52:19.093
45, 1.8559, 359.733, 88.166, 0, -0.000976562, -0.000976562, 0.0722656, 0.285156, -9.73438, 1.19.2022 19:52:19.101
46, 1.8559, 359.733, 88.166, 0, -0.000976562, 0, 0.00488281, 0.328125, -9.73145, 1.19.2022 19:52:19.109
