Seq, Rot x, Rot y, Rot z, Vel x, Vel y, Vel z, Acc x, Acc y, Acc z, Time(m.d.y h:m:s.ms)
0, 2.12458, 0.345454, 183.156, 0, -0.000976562, -0.000976562, -0.115234, 0.375, -9.68555, 1.28.2022 18:0:33.595
1, 2.12458, 0.345454, 183.156, 0.000976562, -0.000976562, -0.000976562, -0.0400391, 0.364258, -9.7207, 1.28.2022 18:0:33.601
2, 2.12458, 0.345454, 183.156, 0, -0.00195312, -0.000976562, -0.0332031, 0.352539, -9.7373, 1.28.2022 18:0:33.609
3, 2.12458, 0.345454, 183.156, 0, -0.00195312, -0.000976562, -0.0966797, 0.371094, -9.69336, 1.28.2022 18:0:33.617
4, 2.12439, 0.352444, 183.156, 0, -0.000976562, -0.000976562, 0.00292969, 0.368164, -9.70898, 1.28.2022 18:0:33.625
5, 2.13137, 0.352637, 183.156, 0, -0.000976562, -0.000976562, -0.0761719, 0.37207, -9.73145, 1.28.2022 18:0:33.633
6, 2.13137, 0.352637, 183.156, 0.000976562, -0.000976562, -0.000976562, -0.0576172, 0.375, -9.66797, 1.28.2022 18:0:33.641
7, 2.13137, 0.352637, 183.156, 0, -0.000976562, -0.000976562, -0.0234375, 0.344727, -9.72168, 1.28.2022 18:0:33.649
8, 2.13137, 0.352637, 183.156, 0, -0.000976562, -0.000976562, -0.0947266, 0.352539, -9.72266, 1.28.2022 18:0:33.657
9, 2.13137, 0.352637, 183.156, 0, 0, -0.000976562, -0.015625, 0.361328, -9.69531, 1.28.2022 18:0:33.665
10, 2.13157, 0.345647, 183.156, 0, 0, -0.000976562, -0.0185547, 0.344727, -9.70703, 1.28.2022 18:0:33.673
11, 2.13157, 0.345647, 183.156, 0, -0.000976562, -0.000976562, -0.0947266, 0.356445, -9.69824, 1.28.2022 18:0:33.681
12, 2.13157, 0.345647, 183.156, 0.000976562, -0.000976562, -0.000976562, -0.0185547, 0.344727, -9.71191, 1.28.2022 18:0:33.689
13, 2.13157, 0.345647, 183.156, 0.000976562, -0.00195312, -0.000976562, -0.0546875, 0.374023, -9.74121, 1.28.2022 18:0:33.697
14, 2.13157, 0.345647, 183.156, 0, -0.000976562, 0, -0.0712891, 0.37207, -9.74121, 1.28.2022 18:0:33.705
15, 2.13157, 0.345647, 183.156, 0.000976562, -0.000976562, 0, -0.015625, 0.321289, -9.71484, 1.28.2022 18:0:33.713
16, 2.13157, 0.345647, 183.156, 0, 0, -0.000976562, -0.113281, 0.380859, -9.72168, 1.28.2022 18:0:33.721
17, 2.13157, 0.345647, 183.156, 0, 0, -0.000976562, -0.0419922, 0.355469, -9.73535, 1.28.2022 18:0:33.729
18, 2.13176, 0.338656, 183.156, 0, -0.000976562, -0.000976562, -0.0488281, 0.363281, -9.69922, 1.28.2022 18:0:33.737
19, 2.13176, 0.338656, 183.156, 0, -0.000976562, -0.000976562, -0.0800781, 0.369141, -9.71777, 1.28.2022 18:0:33.745
20, 2.13176, 0.338656, 183.156, 0, -0.00195312, -0.000976562, -0.0205078, 0.349609, -9.7168, 1.28.2022 18:0:33.753
21, 2.13176, 0.338656, 183.156, -0.00195312, -0.000976562, -0.000976562, -0.0585938, 0.359375, -9.72461, 1.28.2022 18:0:33.761
22, 2.13176, 0.338656, 183.156, 0, -0.000976562, -0.000976562, -0.0498047, 0.349609, -9.72559, 1.28.2022 18:0:33.769
23, 2.12477, 0.338463, 183.156, 0.000976562, -0.000976562, -0.000976562, -0.00195312, 0.354492, -9.72363, 1.28.2022 18:0:33.777
24, 2.12477, 0.338463, 183.156, 0.000976562, -0.000976562, -0.000976562, -0.111328, 0.369141, -9.73828, 1.28.2022 18:0:33.785
25, 2.12477, 0.338463, 183.156, 0.000976562, -0.000976562, -0.00195312, -0.0585938, 0.37793, -9.70996, 1.28.2022 18:0:33.793
26, 2.12477, 0.338463, 183.156, -0.00195312, -0.000976562, -0.00195312, -0.0419922, 0.361328, -9.71387, 1.28.2022 18:0:33.801
27, 2.12477, 0.338463, 183.156, 0, -0.000976562, 0, -0.106445, 0.389648, -9.7041, 1.28.2022 18:0:33.809
28, 2.12477, 0.338463, 183.156, 0, -0.000976562, 0, -0.0351562, 0.370117, -9.75391, 1.28.2022 18:0:33.817
29, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, 0, -0.0419922, 0.347656, -9.72363, 1.28.2022 18:0:33.825
30, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.078125, 0.344727, -9.72266, 1.28.2022 18:0:33.833
31, 2.12497, 0.331473, 183.156, -0.00195312, -0.000976562, -0.00195312, -0.0224609, 0.352539, -9.65527, 1.28.2022 18:0:33.841
32, 2.12497, 0.331473, 183.156, 0, -0.000976562, -0.000976562, -0.111328, 0.378906, -9.73047, 1.28.2022 18:0:33.849
33, 2.12497, 0.331473, 183.156, 0, -0.00195312, 0, -0.0322266, 0.365234, -9.6875, 1.28.2022 18:0:33.857
34, 2.12497, 0.331473, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0644531, 0.358398, -9.76953, 1.28.2022 18:0:33.865
35, 2.12477, 0.338463, 183.156, 0, -0.000976562, -0.000976562, -0.109375, 0.392578, -9.71875, 1.28.2022 18:0:33.873
36, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0234375, 0.326172, -9.74023, 1.28.2022 18:0:33.881
37, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0546875, 0.323242, -9.72168, 1.28.2022 18:0:33.889
38, 2.12477, 0.338463, 183.156, -0.000976562, -0.00195312, -0.00195312, -0.046875, 0.357422, -9.72754, 1.28.2022 18:0:33.897
39, 2.12477, 0.338463, 183.156, -0.00195312, -0.000976562, -0.00292969, -0.00878906, 0.349609, -9.71387, 1.28.2022 18:0:33.905
40, 2.12477, 0.338463, 183.156, -0.00195312, -0.000976562, -0.000976562, -0.12793, 0.356445, -9.7002, 1.28.2022 18:0:33.913
41, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0517578, 0.368164, -9.7041, 1.28.2022 18:0:33.921
42, 2.12477, 0.338463, 183.156, -0.000976562, -0.00195312, -0.000976562, -0.0302734, 0.344727, -9.71387, 1.28.2022 18:0:33.929
43, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.125, 0.368164, -9.69043, 1.28.2022 18:0:33.937
44, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0400391, 0.362305, -9.72266, 1.28.2022 18:0:33.945
45, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0712891, 0.350586, -9.72949, 1.28.2022 18:0:33.953
46, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0976562, 0.383789, -9.74219, 1.28.2022 18:0:33.961
47, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, -0.000976562, 0.000976562, 0.351562, -9.70703, 1.28.2022 18:0:33.969
48, 2.12477, 0.338463, 183.156, -0.000976562, -0.000976562, 0, -0.0947266, 0.356445, -9.70801, 1.28.2022 18:0:33.977
49, 2.12458, 0.345454, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0517578, 0.364258, -9.72266, 1.28.2022 18:0:33.985
50, 2.12458, 0.345454, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.0693359, 0.345703, -9.75098, 1.28.2022 18:0:33.993
51, 2.12458, 0.345454, 183.156, -0.000976562, -0.000976562, -0.000976562, -0.108398, 0.380859, -9.70508, 1.28.2022 18:0:34.001
