Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2023-8-14 12:14:35.628	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.92	-75	-372	523	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.628	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.92	-75	-372	523	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.630	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.92	-76	-372	523	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.630	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.92	-76	-372	523	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.632	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.92	-76	-373	524	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.632	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.92	-76	-373	524	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.634	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-76	-373	524	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.634	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-76	-373	524	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.636	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-76	-373	525	None	None	None	None	-0.03952	0.10327	-0.09128	-0.98965
 2023-8-14 12:14:35.636	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-76	-373	525	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.638	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-372	525	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.638	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-372	525	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.640	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-372	526	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.640	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-372	526	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.642	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-372	526	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.642	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-372	526	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.644	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-371	526	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.644	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-371	526	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.646	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-371	527	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.646	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-371	527	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.648	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-371	527	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.648	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-77	-371	527	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.650	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-76	-371	527	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.650	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.512	35.93	-76	-371	527	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.652	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.93	-76	-370	528	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.652	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.93	-76	-370	528	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.654	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.93	-76	-370	528	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.654	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.93	-76	-370	528	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.656	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.93	-75	-370	528	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.656	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.93	-75	-370	528	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.658	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.9	-75	-370	528	None	None	None	None	-0.03955	0.10327	-0.09125	-0.98965
 2023-8-14 12:14:35.658	-0.0933	-0.0107	1.0474	0.0	0.0	0.0	10.162	12.217	176.506	35.9	-75	-370	528	None	None	None	None	-0.03958	0.10327	-0.09125	-0.98965
